proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,measurement_protein_id,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,uniprot_length,coverage_per_lcr
P14866|ensembl_protein_id=ENSP00000221419|entry=HNRPL_HUMAN|source=pfam27|protein_name=Heterogeneous,SEG,38,55,18,mRNA,domain_adjacent,aromatic_sticker_region,P14866|ensembl_protein_id=ENSP00000221419|entry=HNRPL_HUMAN|source=pfam27|protein_name=Heterogeneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14866|ensembl_protein_id=ENSP00000221419|entry=HNRPL_HUMAN|source=pfam27|protein_name=Heterogeneous,SEG,70,88,19,mRNA,domain_adjacent,disorder_rich_spacer_region,P14866|ensembl_protein_id=ENSP00000221419|entry=HNRPL_HUMAN|source=pfam27|protein_name=Heterogeneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15428|ensembl_protein_id=ENSP00000221494|entry=SF3A2_HUMAN|source=pfam27|protein_name=Splicing,SEG,250,265,16,snRNA,domain_adjacent,disorder_rich_spacer_region,Q15428|ensembl_protein_id=ENSP00000221494|entry=SF3A2_HUMAN|source=pfam27|protein_name=Splicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NW13|ensembl_protein_id=ENSP00000223073|entry=RBM28_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,223,243,21,snRNA,interdomain_linker,acidic_region,Q9NW13|ensembl_protein_id=ENSP00000223073|entry=RBM28_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z417|ensembl_protein_id=ENSP00000225388|entry=NUFP2_HUMAN|source=pfam27|protein_name=FMR1-interacting,SEG,6,34,29,mRNA,distal_terminal,aromatic_sticker_region,Q7Z417|ensembl_protein_id=ENSP00000225388|entry=NUFP2_HUMAN|source=pfam27|protein_name=FMR1-interacting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z417|ensembl_protein_id=ENSP00000225388|entry=NUFP2_HUMAN|source=pfam27|protein_name=FMR1-interacting,SEG,372,385,14,mRNA,domain_intrinsic,disorder_rich_spacer_region,Q7Z417|ensembl_protein_id=ENSP00000225388|entry=NUFP2_HUMAN|source=pfam27|protein_name=FMR1-interacting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,SEG,2,23,22,snoRNA,domain_adjacent,rg_rgg_repeat_region,Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,SEG,28,58,31,snoRNA,domain_adjacent,rg_rgg_repeat_region,Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,SEG,168,215,48,snoRNA,domain_adjacent,rg_rgg_repeat_region,Q9NY12|ensembl_protein_id=ENSP00000226796|entry=GAR1_HUMAN|source=pfam27|protein_name=H/ACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5XG87|ensembl_protein_id=ENSP00000230859|entry=PAPD7_HUMAN|source=pfam27|protein_name=Terminal,SEG,104,116,13,diverse,distal_terminal,disorder_rich_spacer_region,Q5XG87|ensembl_protein_id=ENSP00000230859|entry=PAPD7_HUMAN|source=pfam27|protein_name=Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4ZG55|ensembl_protein_id=ENSP00000234142|entry=GREB1_HUMAN|source=pfam38|protein_name=Protein,SEG,1216,1231,16,unknown,domain_intrinsic,disorder_rich_spacer_region,Q4ZG55|ensembl_protein_id=ENSP00000234142|entry=GREB1_HUMAN|source=pfam38|protein_name=Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13247|ensembl_protein_id=ENSP00000244020|entry=SRSF6_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,SEG,187,229,43,mRNA,domain_adjacent,sr_rs_repeat_region,Q13247|ensembl_protein_id=ENSP00000244020|entry=SRSF6_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13247|ensembl_protein_id=ENSP00000244020|entry=SRSF6_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,SEG,323,342,20,mRNA,distal_terminal,sr_rs_repeat_region,Q13247|ensembl_protein_id=ENSP00000244020|entry=SRSF6_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,SEG,2,17,16,snRNA,distal_terminal,sr_rs_repeat_region,Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,SEG,9,44,36,snRNA,distal_terminal,sr_rs_repeat_region,Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,SEG,37,58,22,snRNA,domain_adjacent,sr_rs_repeat_region,Q8WVK2|ensembl_protein_id=ENSP00000244227|entry=SNR27_HUMAN|source=pfam27|protein_name=U4/U6.U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09234|ensembl_protein_id=ENSP00000244520|entry=RU1C_HUMAN|source=pfam27|protein_name=U1,SEG,96,117,22,snRNA,distal_terminal,proline_rich_disordered_region,P09234|ensembl_protein_id=ENSP00000244520|entry=RU1C_HUMAN|source=pfam27|protein_name=U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BQ67|ensembl_protein_id=ENSP00000253237|entry=GRWD1_HUMAN|source=pfam27|protein_name=Glutamate-rich,SEG,122,135,14,pre-rRNA,unclassified_no_pfam,acidic_region,Q9BQ67|ensembl_protein_id=ENSP00000253237|entry=GRWD1_HUMAN|source=pfam27|protein_name=Glutamate-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96EY7|ensembl_protein_id=ENSP00000254630|entry=PTCD3_HUMAN|source=pfam27|protein_name=Small,SEG,669,685,17,mRNA,unclassified_no_pfam,acidic_region,Q96EY7|ensembl_protein_id=ENSP00000254630|entry=PTCD3_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NQZ2|ensembl_protein_id=ENSP00000254803|entry=SAS10_HUMAN|source=pfam27|protein_name=Something,SEG,150,168,19,snoRNA,distal_terminal,acidic_region,Q9NQZ2|ensembl_protein_id=ENSP00000254803|entry=SAS10_HUMAN|source=pfam27|protein_name=Something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95218|ensembl_protein_id=ENSP00000254821|entry=ZRAB2_HUMAN|source=pfam27|protein_name=Zinc,SEG,199,253,55,mRNA,distal_terminal,sr_rs_repeat_region,O95218|ensembl_protein_id=ENSP00000254821|entry=ZRAB2_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95218|ensembl_protein_id=ENSP00000254821|entry=ZRAB2_HUMAN|source=pfam27|protein_name=Zinc,SEG,309,326,18,mRNA,distal_terminal,gs_rich_neutral_region,O95218|ensembl_protein_id=ENSP00000254821|entry=ZRAB2_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NAV1|ensembl_protein_id=ENSP00000257181|entry=PR38A_HUMAN|source=pfam27|protein_name=Pre-mRNA-splicing,SEG,229,251,23,snRNA,distal_terminal,sr_rs_repeat_region,Q8NAV1|ensembl_protein_id=ENSP00000257181|entry=PR38A_HUMAN|source=pfam27|protein_name=Pre-mRNA-splicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96K80|ensembl_protein_id=ENSP00000257940|entry=ZC3HA_HUMAN|source=pfam27|protein_name=Zinc,SEG,336,355,20,unknown,distal_terminal,disorder_rich_spacer_region,Q96K80|ensembl_protein_id=ENSP00000257940|entry=ZC3HA_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07955|ensembl_protein_id=ENSP00000258962|entry=SRSF1_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,SEG,89,112,24,mRNA,interdomain_linker,disorder_rich_spacer_region,Q07955|ensembl_protein_id=ENSP00000258962|entry=SRSF1_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07955|ensembl_protein_id=ENSP00000258962|entry=SRSF1_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,SEG,203,226,24,mRNA,domain_adjacent,sr_rs_repeat_region,Q07955|ensembl_protein_id=ENSP00000258962|entry=SRSF1_HUMAN|source=pfam27|protein_name=Serine/arginine-rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60563|ensembl_protein_id=ENSP00000261900|entry=CCNT1_HUMAN|source=pfam27|protein_name=Cyclin-T1,SEG,512,530,19,ncRNA,unclassified_no_pfam,aromatic_sticker_region,O60563|ensembl_protein_id=ENSP00000261900|entry=CCNT1_HUMAN|source=pfam27|protein_name=Cyclin-T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60563|ensembl_protein_id=ENSP00000261900|entry=CCNT1_HUMAN|source=pfam27|protein_name=Cyclin-T1,SEG,707,724,18,ncRNA,unclassified_no_pfam,disorder_rich_spacer_region,O60563|ensembl_protein_id=ENSP00000261900|entry=CCNT1_HUMAN|source=pfam27|protein_name=Cyclin-T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15105|ensembl_protein_id=ENSP00000262158|entry=SMAD7_HUMAN|source=pfam27|protein_name=SMAD,SEG,19,40,22,ncRNA,unclassified_no_pfam,acidic_region,O15105|ensembl_protein_id=ENSP00000262158|entry=SMAD7_HUMAN|source=pfam27|protein_name=SMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TDI0|ensembl_protein_id=ENSP00000262450|entry=CHD5_HUMAN|source=pfam38|protein_name=ATP-dependent,SEG,96,115,20,unknown,distal_terminal,basic_enriched_region,Q8TDI0|ensembl_protein_id=ENSP00000262450|entry=CHD5_HUMAN|source=pfam38|protein_name=ATP-dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TDI0|ensembl_protein_id=ENSP00000262450|entry=CHD5_HUMAN|source=pfam38|protein_name=ATP-dependent,SEG,205,216,12,unknown,distal_terminal,disorder_rich_spacer_region,Q8TDI0|ensembl_protein_id=ENSP00000262450|entry=CHD5_HUMAN|source=pfam38|protein_name=ATP-dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZRS2|ensembl_protein_id=ENSP00000262518|entry=SRCAP_HUMAN|source=pfam38|protein_name=Chromatin,SEG,1141,1157,17,unknown,interdomain_linker,unmapped_physicochemical_properties,Q6ZRS2|ensembl_protein_id=ENSP00000262518|entry=SRCAP_HUMAN|source=pfam38|protein_name=Chromatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,327,356,30,ncRNA,distal_terminal,disorder_rich_spacer_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,432,451,20,ncRNA,distal_terminal,disorder_rich_spacer_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,593,615,23,ncRNA,distal_terminal,disorder_rich_spacer_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,634,653,20,ncRNA,distal_terminal,disorder_rich_spacer_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,970,991,22,ncRNA,distal_terminal,acidic_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,1030,1068,39,ncRNA,distal_terminal,disorder_rich_spacer_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,1358,1386,29,ncRNA,distal_terminal,acidic_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,SEG,1398,1412,15,ncRNA,distal_terminal,arginine_rich_rna_contact_region,O15047|ensembl_protein_id=ENSP00000262519|entry=SET1A_HUMAN|source=pfam27|protein_name=Histone-lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IXZ2|ensembl_protein_id=ENSP00000262577|entry=ZC3H3_HUMAN|source=pfam27|protein_name=Zinc,SEG,863,884,22,mRNA,distal_terminal,disorder_rich_spacer_region,Q8IXZ2|ensembl_protein_id=ENSP00000262577|entry=ZC3H3_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,SEG,269,291,23,mRNA,distal_terminal,acidic_region,Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,SEG,575,602,28,mRNA,distal_terminal,sr_rs_repeat_region,Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,SEG,1284,1319,36,mRNA,distal_terminal,disorder_rich_spacer_region,Q9UKV3|ensembl_protein_id=ENSP00000262710|entry=ACINU_HUMAN|source=pfam27|protein_name=Apoptotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92900|ensembl_protein_id=ENSP00000262803|entry=RENT1_HUMAN|source=pfam27|protein_name=Regulator,SEG,46,71,26,mRNA,domain_adjacent,disorder_rich_spacer_region,Q92900|ensembl_protein_id=ENSP00000262803|entry=RENT1_HUMAN|source=pfam27|protein_name=Regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UPR6|ensembl_protein_id=ENSP00000262961|entry=ZFR2_HUMAN|source=pfam27|protein_name=Zinc,SEG,218,239,22,unknown,domain_adjacent,disorder_rich_spacer_region,Q9UPR6|ensembl_protein_id=ENSP00000262961|entry=ZFR2_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,309,323,15,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,333,351,19,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,366,378,13,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9UNW9|ensembl_protein_id=ENSP00000263257|entry=NOVA2_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60583|ensembl_protein_id=ENSP00000264157|entry=CCNT2_HUMAN|source=pfam27|protein_name=Cyclin-T2,SEG,631,649,19,ncRNA,unclassified_no_pfam,disorder_rich_spacer_region,O60583|ensembl_protein_id=ENSP00000264157|entry=CCNT2_HUMAN|source=pfam27|protein_name=Cyclin-T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15032|ensembl_protein_id=ENSP00000264160|entry=R3HD1_HUMAN|source=pfam27|protein_name=R3H,SEG,588,612,25,unknown,distal_terminal,disorder_rich_spacer_region,Q15032|ensembl_protein_id=ENSP00000264160|entry=R3HD1_HUMAN|source=pfam27|protein_name=R3H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2X3|ensembl_protein_id=ENSP00000264279|entry=NOP58_HUMAN|source=pfam27|protein_name=Nucleolar,SEG,464,480,17,snoRNA,distal_terminal,acidic_region,Q9Y2X3|ensembl_protein_id=ENSP00000264279|entry=NOP58_HUMAN|source=pfam27|protein_name=Nucleolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15234|ensembl_protein_id=ENSP00000264645|entry=CASC3_HUMAN|source=pfam27|protein_name=Protein,SEG,31,46,16,mRNA,distal_terminal,gs_rich_neutral_region,O15234|ensembl_protein_id=ENSP00000264645|entry=CASC3_HUMAN|source=pfam27|protein_name=Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96KR1|ensembl_protein_id=ENSP00000265069|entry=ZFR_HUMAN|source=pfam27|protein_name=Zinc,SEG,280,301,22,unknown,domain_adjacent,disorder_rich_spacer_region,Q96KR1|ensembl_protein_id=ENSP00000265069|entry=ZFR_HUMAN|source=pfam27|protein_name=Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,316,357,42,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,950,963,14,mRNA,distal_terminal,rg_rgg_repeat_region,Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,SEG,1022,1036,15,mRNA,distal_terminal,acidic_region,Q9P2N5|ensembl_protein_id=ENSP00000265271|entry=RBM27_HUMAN|source=pfam27|protein_name=RNA-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51531|ensembl_protein_id=ENSP00000265773|entry=SMCA2_HUMAN|source=pfam38|protein_name=SWI/SNF-related,SEG,215,253,39,unknown,distal_terminal,polar_linker,P51531|ensembl_protein_id=ENSP00000265773|entry=SMCA2_HUMAN|source=pfam38|protein_name=SWI/SNF-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51531|ensembl_protein_id=ENSP00000265773|entry=SMCA2_HUMAN|source=pfam38|protein_name=SWI/SNF-related,SEG,1508,1530,23,unknown,distal_terminal,acidic_region,P51531|ensembl_protein_id=ENSP00000265773|entry=SMCA2_HUMAN|source=pfam38|protein_name=SWI/SNF-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31942|ensembl_protein_id=ENSP00000265866|entry=HNRH3_HUMAN|source=pfam27;pfam38|protein_name=Heterogeneous,SEG,271,285,15,mRNA,domain_adjacent,gs_rich_neutral_region,P31942|ensembl_protein_id=ENSP00000265866|entry=HNRH3_HUMAN|source=pfam27;pfam38|protein_name=Heterogeneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31942|ensembl_protein_id=ENSP00000265866|entry=HNRH3_HUMAN|source=pfam27;pfam38|protein_name=Heterogeneous,SEG,316,335,20,mRNA,domain_adjacent,aromatic_sticker_region,P31942|ensembl_protein_id=ENSP00000265866|entry=HNRH3_HUMAN|source=pfam27;pfam38|protein_name=Heterogeneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7MD48|ensembl_protein_id=ENSP00000267260|entry=SRRM4_HUMAN|source=pfam27|protein_name=Serine/arginine,SEG,533,575,43,mRNA,domain_adjacent,sr_rs_repeat_region,A7MD48|ensembl_protein_id=ENSP00000267260|entry=SRRM4_HUMAN|source=pfam27|protein_name=Serine/arginine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7MD48|ensembl_protein_id=ENSP00000267260|entry=SRRM4_HUMAN|source=pfam27|protein_name=Serine/arginine,SEG,566,601,36,mRNA,domain_adjacent,sr_rs_repeat_region,A7MD48|ensembl_protein_id=ENSP00000267260|entry=SRRM4_HUMAN|source=pfam27|protein_name=Serine/arginine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
