uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0ACI8TML7,unknown,1201.0,1,16,0.013322231473771857,1,SEG_intermediate
A0ACI8TMU3,unknown,1055.0,1,51,0.04834123222748815,1,SEG_intermediate
A0ACI8TQS2,unknown,3008.0,3,107,0.0355718085106383,3+,SEG_intermediate
A0ACI8TS18,unknown,1048.0,1,28,0.026717557251908396,1,SEG_intermediate
A0ACI8TSY6,unknown,1461.0,2,45,0.030800821355236138,2,SEG_intermediate
A0ACI8TUA9,unknown,638.0,3,135,0.2115987460815047,3+,SEG_intermediate
A0ACI8TXE9,unknown,1448.0,2,44,0.03038674033149171,2,SEG_intermediate
A0ACI8U1B9,unknown,902.0,4,122,0.1352549889135255,3+,SEG_intermediate
A0ACI8U6C5,unknown,1066.0,1,25,0.02345215759849906,1,SEG_intermediate
A0ACI8U804,unknown,2104.0,1,19,0.00903041825095057,1,SEG_intermediate
A0ACI8UES1,unknown,422.0,2,47,0.11137440758293839,2,SEG_intermediate
A0ACI8UMC2,unknown,837.0,1,23,0.027479091995221028,1,SEG_intermediate
A0ACI8UNX3,unknown,1077.0,2,45,0.04178272980501393,2,SEG_intermediate
A0ACI8UTL7,unknown,402.0,2,67,0.16666666666666666,2,SEG_intermediate
A0ACI8UZB3,unknown,1252.0,1,56,0.04472843450479233,1,SEG_intermediate
A0ACI8V583,mRNA,621.0,1,45,0.07246376811594203,1,SEG_intermediate
A0ACI8VCM9,unknown,1180.0,2,74,0.06271186440677966,2,SEG_intermediate
A0ACI8VD15,unknown,1437.0,1,21,0.014613778705636743,1,SEG_intermediate
A0ACI8VQD2,unknown,1043.0,2,25,0.023969319271332695,2,SEG_intermediate
A0ACI8VSD4,mRNA,674.0,1,10,0.01483679525222552,1,SEG_intermediate
A0AV96,mRNA,593.0,1,16,0.026981450252951095,1,SEG_intermediate
A1L020,mRNA,520.0,2,69,0.1326923076923077,2,SEG_intermediate
A5YKK6,mRNA,2376.0,2,51,0.021464646464646464,2,SEG_intermediate
A6NDY0,mRNA,278.0,1,24,0.08633093525179857,1,SEG_intermediate
A6NFI3,unknown,1004.0,4,145,0.14442231075697212,3+,SEG_intermediate
A6NFN3,mRNA,312.0,1,16,0.05128205128205128,1,SEG_intermediate
A6NHQ2,snoRNA,334.0,1,77,0.23053892215568864,1,SEG_intermediate
A7MD48,mRNA,611.0,5,262,0.4288052373158756,3+,SEG_intermediate
B0QYK0,mRNA,618.0,4,190,0.3074433656957929,3+,SEG_intermediate
B0QYY4,mRNA,370.0,1,16,0.043243243243243246,1,SEG_intermediate
B5MCF9,pre-rRNA,571.0,1,46,0.08056042031523643,1,SEG_intermediate
B5MCU0,unknown,990.0,1,30,0.030303030303030304,1,SEG_intermediate
B8ZZ98,mRNA,158.0,1,64,0.4050632911392405,1,SEG_intermediate
C9J9B2,mRNA,264.0,1,18,0.06818181818181818,1,SEG_intermediate
C9JAB2,mRNA,235.0,1,112,0.4765957446808511,1,SEG_intermediate
C9JE40,mRNA,543.0,1,38,0.06998158379373849,1,SEG_intermediate
C9JP00,mRNA,348.0,1,30,0.08620689655172414,1,SEG_intermediate
D4PHA4,unknown,493.0,1,19,0.038539553752535496,1,SEG_intermediate
D6R9W6,mRNA,518.0,1,30,0.05791505791505792,1,SEG_intermediate
D6W5Y5,mRNA,297.0,1,43,0.1447811447811448,1,SEG_intermediate
E5RHF4,ribosomal protein,198.0,1,30,0.15151515151515152,1,SEG_intermediate
E5RJM0,mRNA,639.0,2,65,0.10172143974960876,2,SEG_intermediate
E7ERJ7,mRNA,604.0,1,18,0.029801324503311258,1,SEG_intermediate
E7ET15,snRNA,1028.0,1,28,0.027237354085603113,1,SEG_intermediate
E7ETU5,mRNA,370.0,1,19,0.051351351351351354,1,SEG_intermediate
E9PB61,mRNA,264.0,2,76,0.2878787878787879,2,SEG_intermediate
E9PFF5,mRNA,490.0,2,51,0.10408163265306122,2,SEG_intermediate
E9PIF2,pre-rRNA,835.0,2,37,0.04431137724550898,2,SEG_intermediate
E9PJG9,ncRNA,54.0,1,14,0.25925925925925924,1,SEG_intermediate
E9PL19,mRNA,596.0,1,40,0.06711409395973154,1,SEG_intermediate
E9PMM9,ribosomal protein,218.0,1,48,0.22018348623853212,1,SEG_intermediate
F5GYR3,pre-rRNA,275.0,1,16,0.05818181818181818,1,SEG_intermediate
F5H0R1,snRNA,912.0,1,25,0.027412280701754384,1,SEG_intermediate
F6TAI2,mRNA,324.0,1,20,0.06172839506172839,1,SEG_intermediate
F6VAP0,mRNA,555.0,1,16,0.02882882882882883,1,SEG_intermediate
F8VQP2,mRNA,1073.0,2,56,0.0521901211556384,2,SEG_intermediate
F8VU11,snRNA,892.0,7,193,0.2163677130044843,3+,SEG_intermediate
F8VXY6,mRNA,228.0,1,34,0.14912280701754385,1,SEG_intermediate
F8W6I7,mRNA,307.0,2,52,0.16938110749185667,2,SEG_intermediate
G3V529,pre-rRNA,816.0,2,47,0.05759803921568627,2,SEG_intermediate
H0Y6E7,mRNA,292.0,1,37,0.1267123287671233,1,SEG_intermediate
H0YDK8,mRNA,900.0,3,70,0.07777777777777778,3+,SEG_intermediate
H3BM89,ribosomal protein,333.0,1,27,0.08108108108108109,1,SEG_intermediate
H3BPE7,mRNA,527.0,6,320,0.6072106261859582,3+,SEG_intermediate
H3BPG5,mRNA,128.0,1,63,0.4921875,1,SEG_intermediate
H3BSG4,tRNA,173.0,1,29,0.1676300578034682,1,SEG_intermediate
H7BXY3,mRNA,1166.0,1,12,0.010291595197255575,1,SEG_intermediate
J3KPP4,mRNA,489.0,1,129,0.26380368098159507,1,SEG_intermediate
J3QL05,mRNA,130.0,1,37,0.2846153846153846,1,SEG_intermediate
J3QS41,mRNA,1943.0,2,65,0.033453422542460115,2,SEG_intermediate
K7EJB9,mRNA,349.0,1,51,0.14613180515759314,1,SEG_intermediate
M0QY97,unknown,910.0,5,174,0.1912087912087912,3+,SEG_intermediate
M0R1H0,snoRNA,178.0,1,59,0.33146067415730335,1,SEG_intermediate
O00178,mRNA,669.0,1,10,0.014947683109118086,1,SEG_intermediate
O00267,mRNA,1087.0,2,52,0.04783808647654094,2,SEG_intermediate
O00566,snoRNA,681.0,1,32,0.04698972099853157,1,SEG_intermediate
O00567,snoRNA,594.0,1,24,0.04040404040404041,1,SEG_intermediate
O00571,mRNA,662.0,1,50,0.0755287009063444,1,SEG_intermediate
O00584,diverse,256.0,1,21,0.08203125,1,SEG_intermediate
O14647,unknown,1828.0,2,50,0.02735229759299781,2,SEG_intermediate
O14776,mRNA,1098.0,5,232,0.21129326047358835,3+,SEG_intermediate
O14979,mRNA,420.0,1,30,0.07142857142857142,1,SEG_intermediate
O15037,mRNA,678.0,1,14,0.02064896755162242,1,SEG_intermediate
O15042,snRNA,1029.0,1,28,0.027210884353741496,1,SEG_intermediate
O15047,ncRNA,1707.0,9,296,0.17340363210310486,3+,SEG_intermediate
O15056,unknown,1496.0,1,25,0.016711229946524065,1,SEG_intermediate
O15105,ncRNA,426.0,2,43,0.10093896713615023,2,SEG_intermediate
O15234,mRNA,703.0,2,59,0.08392603129445235,2,SEG_intermediate
O15371,mRNA,548.0,1,18,0.032846715328467155,1,SEG_intermediate
O15372,mRNA,352.0,1,15,0.04261363636363636,1,SEG_intermediate
O15397,ncRNA,1037.0,1,17,0.01639344262295082,1,SEG_intermediate
O15504,mRNA,423.0,1,16,0.037825059101654845,1,SEG_intermediate
O15523,mRNA,660.0,1,50,0.07575757575757576,1,SEG_intermediate
O43143,mRNA,795.0,2,77,0.09685534591194969,2,SEG_intermediate
O43251,mRNA,390.0,1,25,0.0641025641025641,1,SEG_intermediate
O43290,snRNA,800.0,2,61,0.07625,2,SEG_intermediate
O43310,mRNA,598.0,1,20,0.033444816053511704,1,SEG_intermediate
O43347,mRNA,362.0,1,8,0.022099447513812154,1,SEG_intermediate
O43390,mRNA,633.0,3,135,0.2132701421800948,3+,SEG_intermediate
O43426,unknown,1573.0,3,81,0.05149396058486968,3+,SEG_intermediate
O43432,mRNA,1585.0,3,82,0.051735015772870666,3+,SEG_intermediate
O43541,ncRNA,496.0,1,21,0.04233870967741935,1,SEG_intermediate
O43719,mRNA,755.0,2,35,0.046357615894039736,2,SEG_intermediate
O43818,snoRNA,475.0,1,29,0.061052631578947365,1,SEG_intermediate
O43823,mRNA,692.0,1,13,0.01878612716763006,1,SEG_intermediate
O60231,snRNA,1041.0,1,28,0.026897214217098942,1,SEG_intermediate
O60293,unknown,1989.0,5,123,0.06184012066365008,3+,SEG_intermediate
O60318,mRNA,1980.0,1,29,0.014646464646464647,1,SEG_intermediate
O60506,mRNA,623.0,3,118,0.18940609951845908,3+,SEG_intermediate
O60508,mRNA,579.0,1,15,0.025906735751295335,1,SEG_intermediate
O60563,ncRNA,726.0,3,55,0.07575757575757576,3+,SEG_intermediate
O60583,ncRNA,730.0,3,78,0.10684931506849316,3+,SEG_intermediate
O60828,mRNA,265.0,1,33,0.12452830188679245,1,SEG_intermediate
O60832,snoRNA,514.0,2,24,0.04669260700389105,2,SEG_intermediate
O60841,tRNA,1220.0,5,178,0.14590163934426228,3+,SEG_intermediate
O60942,mRNA,597.0,1,11,0.018425460636515914,1,SEG_intermediate
O75179,unknown,2603.0,5,160,0.06146753745678064,3+,SEG_intermediate
O75460,mRNA,977.0,1,13,0.01330603889457523,1,SEG_intermediate
O75494,mRNA,262.0,3,98,0.37404580152671757,3+,SEG_intermediate
O75526,mRNA,392.0,2,68,0.17346938775510204,2,SEG_intermediate
O75607,pre-rRNA,178.0,1,20,0.11235955056179775,1,SEG_intermediate
O75923,unknown,2080.0,1,28,0.013461538461538462,1,SEG_intermediate
O94913,mRNA,1555.0,1,36,0.02315112540192926,1,SEG_intermediate
O94992,ncRNA,359.0,1,25,0.06963788300835655,1,SEG_intermediate
O95104,mRNA,1147.0,7,300,0.26155187445510025,3+,SEG_intermediate
O95218,mRNA,330.0,3,165,0.5,3+,SEG_intermediate
O95319,mRNA,508.0,2,43,0.08464566929133858,2,SEG_intermediate
O95373,mRNA,1038.0,2,48,0.046242774566473986,2,SEG_intermediate
O95391,mRNA,586.0,1,40,0.06825938566552901,1,SEG_intermediate
O95985,mRNA,862.0,1,27,0.031322505800464036,1,SEG_intermediate
P03950,diverse,147.0,1,18,0.12244897959183673,1,SEG_intermediate
P05386,ribosomal protein,114.0,1,26,0.22807017543859648,1,SEG_intermediate
P05387,ribosomal protein,115.0,2,46,0.4,2,SEG_intermediate
P05388,ribosomal protein,317.0,1,28,0.08832807570977919,1,SEG_intermediate
P06730,mRNA,217.0,1,19,0.08755760368663594,1,SEG_intermediate
P06748,pre-rRNA,294.0,2,47,0.1598639455782313,2,SEG_intermediate
P07814,tRNA,1512.0,1,22,0.01455026455026455,1,SEG_intermediate
P07998,diverse,156.0,1,14,0.08974358974358974,1,SEG_intermediate
P08621,snRNA,437.0,2,118,0.2700228832951945,2,SEG_intermediate
P09234,snRNA,159.0,2,84,0.5283018867924528,2,SEG_intermediate
P09651,mRNA,372.0,2,146,0.3924731182795699,2,SEG_intermediate
P09913,ncRNA,472.0,1,20,0.0423728813559322,1,SEG_intermediate
P11387,unknown,765.0,1,62,0.08104575163398693,1,SEG_intermediate
P11940,mRNA,636.0,1,18,0.02830188679245283,1,SEG_intermediate
P12270,mRNA,2363.0,2,64,0.027084214980956412,2,SEG_intermediate
P14678,snRNA,240.0,2,86,0.35833333333333334,2,SEG_intermediate
P14866,mRNA,589.0,3,64,0.10865874363327674,3+,SEG_intermediate
P16989,mRNA,372.0,3,66,0.1774193548387097,3+,SEG_intermediate
P17480,pre-rRNA,764.0,1,89,0.11649214659685864,1,SEG_intermediate
P18583,mRNA,2426.0,5,246,0.10140148392415499,3+,SEG_intermediate
P18615,mRNA,380.0,2,90,0.23684210526315788,2,SEG_intermediate
P19338,snoRNA,710.0,5,186,0.2619718309859155,3+,SEG_intermediate
P22087,snRNA,321.0,1,72,0.22429906542056074,1,SEG_intermediate
P22626,mRNA,353.0,2,119,0.3371104815864023,2,SEG_intermediate
P23246,mRNA,707.0,4,219,0.30975954738330974,3+,SEG_intermediate
P23588,mRNA,611.0,1,46,0.07528641571194762,1,SEG_intermediate
P26358,ncRNA,1616.0,1,13,0.008044554455445545,1,SEG_intermediate
P26368,mRNA,475.0,1,40,0.08421052631578947,1,SEG_intermediate
P26599,mRNA,557.0,1,30,0.05385996409335727,1,SEG_intermediate
P26651,mRNA,326.0,2,52,0.15950920245398773,2,SEG_intermediate
P27824,unknown,592.0,2,47,0.07939189189189189,2,SEG_intermediate
P29558,mRNA,406.0,1,19,0.046798029556650245,1,SEG_intermediate
P31942,mRNA,346.0,3,91,0.2630057803468208,3+,SEG_intermediate
P31943,mRNA,449.0,2,47,0.10467706013363029,2,SEG_intermediate
P35269,mRNA,517.0,2,54,0.10444874274661509,2,SEG_intermediate
P35637,mRNA,526.0,6,320,0.6083650190114068,3+,SEG_intermediate
P36776,diverse,959.0,1,32,0.03336809176225235,1,SEG_intermediate
P37108,ncRNA,136.0,1,34,0.25,1,SEG_intermediate
P38159,mRNA,391.0,2,67,0.17135549872122763,2,SEG_intermediate
P41250,tRNA,739.0,1,40,0.05412719891745602,1,SEG_intermediate
P42694,mRNA,1942.0,2,65,0.03347064881565397,2,SEG_intermediate
P46087,pre-rRNA,812.0,2,29,0.03571428571428571,2,SEG_intermediate
P46100,unknown,2492.0,5,144,0.05778491171749599,3+,SEG_intermediate
P47974,mRNA,494.0,3,127,0.25708502024291496,3+,SEG_intermediate
P49589,tRNA,748.0,1,35,0.04679144385026738,1,SEG_intermediate
P49756,mRNA,843.0,4,256,0.3036773428232503,3+,SEG_intermediate
P49759,mRNA,484.0,1,15,0.030991735537190084,1,SEG_intermediate
P49760,mRNA,499.0,2,68,0.13627254509018036,2,SEG_intermediate
P49761,mRNA,490.0,2,42,0.08571428571428572,2,SEG_intermediate
P49790,diverse,1475.0,2,36,0.02440677966101695,2,SEG_intermediate
P50914,ribosomal protein,215.0,1,39,0.1813953488372093,1,SEG_intermediate
P51114,mRNA,621.0,2,51,0.0821256038647343,2,SEG_intermediate
P51116,mRNA,673.0,3,62,0.09212481426448738,3+,SEG_intermediate
P51513,mRNA,507.0,1,42,0.08284023668639054,1,SEG_intermediate
P51531,unknown,1590.0,7,228,0.14339622641509434,3+,SEG_intermediate
P51608,mRNA,486.0,3,79,0.16255144032921812,3+,SEG_intermediate
P51825,mRNA,1210.0,3,83,0.06859504132231405,3+,SEG_intermediate
P51991,mRNA,378.0,2,157,0.41534391534391535,2,SEG_intermediate
P52756,mRNA,815.0,1,47,0.05766871165644172,1,SEG_intermediate
P53999,mRNA,127.0,1,24,0.1889763779527559,1,SEG_intermediate
P54253,mRNA,815.0,1,30,0.03680981595092025,1,SEG_intermediate
P55010,mRNA,431.0,1,23,0.05336426914153132,1,SEG_intermediate
P55795,mRNA,449.0,2,51,0.11358574610244988,2,SEG_intermediate
P56270,unknown,477.0,5,149,0.31236897274633124,3+,SEG_intermediate
P60153,unknown,205.0,1,14,0.06829268292682927,1,SEG_intermediate
P60323,mRNA,173.0,1,16,0.09248554913294797,1,SEG_intermediate
P61129,unknown,1189.0,2,47,0.03952901597981497,2,SEG_intermediate
P61978,mRNA,463.0,1,17,0.0367170626349892,1,SEG_intermediate
P62314,snRNA,119.0,1,23,0.19327731092436976,1,SEG_intermediate
P62633,mRNA,177.0,1,15,0.0847457627118644,1,SEG_intermediate
P62750,ribosomal protein,156.0,1,29,0.1858974358974359,1,SEG_intermediate
P62851,ribosomal protein,125.0,2,33,0.264,2,SEG_intermediate
P62906,ribosomal protein,217.0,1,18,0.08294930875576037,1,SEG_intermediate
P62945,ribosomal protein,25.0,1,25,1.0,1,SEG_intermediate
P62995,mRNA,288.0,3,130,0.4513888888888889,3+,SEG_intermediate
P63162,snRNA,240.0,2,46,0.19166666666666668,2,SEG_intermediate
P67809,mRNA,324.0,1,10,0.030864197530864196,1,SEG_intermediate
P78362,mRNA,688.0,2,67,0.09738372093023256,2,SEG_intermediate
P82675,ribosomal protein,430.0,1,19,0.044186046511627906,1,SEG_intermediate
P82914,ribosomal protein,257.0,1,23,0.08949416342412451,1,SEG_intermediate
P83369,snRNA,360.0,1,30,0.08333333333333333,1,SEG_intermediate
P84098,ribosomal protein,196.0,1,14,0.07142857142857142,1,SEG_intermediate
P84103,mRNA,164.0,2,65,0.39634146341463417,2,SEG_intermediate
P98175,mRNA,930.0,1,13,0.013978494623655914,1,SEG_intermediate
Q00577,mRNA,322.0,1,52,0.16149068322981366,1,SEG_intermediate
Q00839,mRNA,825.0,4,106,0.12848484848484848,3+,SEG_intermediate
Q01081,mRNA,240.0,1,53,0.22083333333333333,1,SEG_intermediate
Q01130,mRNA,221.0,1,113,0.5113122171945701,1,SEG_intermediate
Q01844,unknown,656.0,5,223,0.3399390243902439,3+,SEG_intermediate
Q02040,mRNA,695.0,2,115,0.16546762589928057,2,SEG_intermediate
Q03468,unknown,1493.0,1,25,0.016744809109176157,1,SEG_intermediate
Q04637,mRNA,1599.0,2,60,0.0375234521575985,2,SEG_intermediate
Q05519,mRNA,484.0,3,125,0.25826446280991733,3+,SEG_intermediate
Q06787,mRNA,632.0,1,23,0.03639240506329114,1,SEG_intermediate
Q07352,mRNA,338.0,1,28,0.08284023668639054,1,SEG_intermediate
Q07666,mRNA,443.0,2,51,0.11512415349887133,2,SEG_intermediate
Q07864,unknown,2286.0,1,33,0.014435695538057743,1,SEG_intermediate
Q07955,mRNA,248.0,2,83,0.3346774193548387,2,SEG_intermediate
Q08170,mRNA,494.0,3,192,0.38866396761133604,3+,SEG_intermediate
Q08211,ncRNA,1270.0,2,50,0.03937007874015748,2,SEG_intermediate
Q09161,mRNA,790.0,1,15,0.0189873417721519,1,SEG_intermediate
Q12849,mRNA,480.0,2,54,0.1125,2,SEG_intermediate
Q12872,mRNA,951.0,5,124,0.13038906414300735,3+,SEG_intermediate
Q12874,snRNA,501.0,1,24,0.04790419161676647,1,SEG_intermediate
Q12904,tRNA,312.0,1,24,0.07692307692307693,1,SEG_intermediate
Q12905,mRNA,390.0,2,61,0.1564102564102564,2,SEG_intermediate
Q12906,mRNA,894.0,4,122,0.13646532438478748,3+,SEG_intermediate
Q13064,mRNA,507.0,1,25,0.04930966469428008,1,SEG_intermediate
Q13148,mRNA,414.0,1,31,0.0748792270531401,1,SEG_intermediate
Q13151,mRNA,305.0,4,126,0.4131147540983607,3+,SEG_intermediate
Q13243,mRNA,272.0,2,72,0.2647058823529412,2,SEG_intermediate
Q13247,mRNA,344.0,3,126,0.36627906976744184,3+,SEG_intermediate
Q13283,mRNA,466.0,3,90,0.19313304721030042,3+,SEG_intermediate
Q13310,mRNA,644.0,1,16,0.024844720496894408,1,SEG_intermediate
Q13428,pre-rRNA,1488.0,14,254,0.17069892473118278,3+,SEG_intermediate
Q13435,mRNA,895.0,4,93,0.10391061452513967,3+,SEG_intermediate
Q13485,ncRNA,552.0,1,21,0.03804347826086957,1,SEG_intermediate
Q13523,snRNA,1007.0,2,102,0.1012909632571996,2,SEG_intermediate
Q13595,mRNA,282.0,2,133,0.4716312056737589,2,SEG_intermediate
Q13823,pre-rRNA,731.0,1,33,0.04514363885088919,1,SEG_intermediate
Q14011,mRNA,172.0,1,43,0.25,1,SEG_intermediate
Q14103,mRNA,355.0,2,63,0.17746478873239438,2,SEG_intermediate
Q14137,pre-rRNA,746.0,2,45,0.06032171581769437,2,SEG_intermediate
Q14151,mRNA,953.0,3,106,0.11122770199370409,3+,SEG_intermediate
Q14152,mRNA,1382.0,4,129,0.09334298118668596,3+,SEG_intermediate
Q14157,mRNA,1087.0,4,124,0.1140754369825207,3+,SEG_intermediate
Q14296,mRNA,549.0,1,28,0.051001821493624776,1,SEG_intermediate
Q14444,mRNA,709.0,2,71,0.1001410437235543,2,SEG_intermediate
Q14498,mRNA,530.0,1,63,0.11886792452830189,1,SEG_intermediate
Q14562,mRNA,1220.0,2,73,0.05983606557377049,2,SEG_intermediate
Q14657,tRNA,143.0,2,43,0.3006993006993007,2,SEG_intermediate
Q14671,mRNA,1186.0,4,79,0.06661045531197302,3+,SEG_intermediate
Q14692,pre-rRNA,1282.0,3,80,0.062402496099843996,3+,SEG_intermediate
Q14839,unknown,1912.0,5,118,0.06171548117154812,3+,SEG_intermediate
Q14966,mRNA,1978.0,1,28,0.014155712841253791,1,SEG_intermediate
Q15007,mRNA,396.0,1,26,0.06565656565656566,1,SEG_intermediate
Q15020,snRNA,963.0,2,57,0.059190031152647975,2,SEG_intermediate
Q15022,ncRNA,739.0,1,61,0.08254397834912043,1,SEG_intermediate
Q15029,tRNA,972.0,1,20,0.0205761316872428,1,SEG_intermediate
Q15032,unknown,1099.0,2,42,0.03821656050955414,2,SEG_intermediate
Q15056,mRNA,248.0,1,20,0.08064516129032258,1,SEG_intermediate
Q15061,pre-rRNA,677.0,1,42,0.0620384047267356,1,SEG_intermediate
Q15233,ncRNA,471.0,3,79,0.16772823779193205,3+,SEG_intermediate
Q15269,snoRNA,919.0,1,17,0.018498367791077257,1,SEG_intermediate
Q15287,mRNA,305.0,2,143,0.46885245901639344,2,SEG_intermediate
Q15424,mRNA,915.0,2,62,0.06775956284153005,2,SEG_intermediate
Q15427,mRNA,424.0,3,180,0.42452830188679247,3+,SEG_intermediate
Q15428,snRNA,464.0,1,86,0.1853448275862069,1,SEG_intermediate
Q15459,snRNA,793.0,5,109,0.13745271122320302,3+,SEG_intermediate
Q15637,mRNA,639.0,5,192,0.3004694835680751,3+,SEG_intermediate
Q15696,mRNA,482.0,2,111,0.23029045643153526,2,SEG_intermediate
Q15797,ncRNA,465.0,1,37,0.07956989247311828,1,SEG_intermediate
Q15910,ncRNA,746.0,1,10,0.013404825737265416,1,SEG_intermediate
Q16206,mRNA,610.0,1,21,0.03442622950819672,1,SEG_intermediate
Q16594,snoRNA,264.0,1,13,0.04924242424242424,1,SEG_intermediate
Q16629,mRNA,238.0,2,111,0.46638655462184875,2,SEG_intermediate
Q16630,mRNA,551.0,3,194,0.35208711433756806,3+,SEG_intermediate
Q16637,snRNA,294.0,3,70,0.23809523809523808,3+,SEG_intermediate
Q17RY0,mRNA,729.0,2,65,0.08916323731138547,2,SEG_intermediate
Q1KMD3,mRNA,747.0,3,93,0.12449799196787148,3+,SEG_intermediate
Q2NL82,pre-rRNA,804.0,1,26,0.03233830845771144,1,SEG_intermediate
Q2Q1W2,ncRNA,868.0,1,34,0.03917050691244239,1,SEG_intermediate
Q2TBE0,mRNA,894.0,1,28,0.03131991051454139,1,SEG_intermediate
Q2WGJ9,unknown,1857.0,2,37,0.01992460958535272,2,SEG_intermediate
Q32MZ4,ncRNA,808.0,2,36,0.04455445544554455,2,SEG_intermediate
Q32P51,mRNA,320.0,2,90,0.28125,2,SEG_intermediate
Q3L8U1,unknown,2897.0,3,113,0.03900586813945461,3+,SEG_intermediate
Q4G0J3,ncRNA,582.0,3,52,0.08934707903780069,3+,SEG_intermediate
Q4ZG55,unknown,1949.0,4,88,0.04515135967162647,3+,SEG_intermediate
