proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,measurement_protein_id,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,uniprot_length,coverage_per_lcr
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,304,358,55,mRNA,distal_terminal,cation_pi_rich_neighborhood,Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,48,67,20,mRNA,distal_terminal,disorder_rich_spacer_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,74,146,73,mRNA,distal_terminal,cation_pi_rich_neighborhood,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,164,193,30,mRNA,distal_terminal,disorder_rich_spacer_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,203,224,22,mRNA,distal_terminal,disorder_rich_spacer_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,248,267,20,mRNA,distal_terminal,arginine_rich_rna_contact_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,692,699,8,mRNA,distal_terminal,hydrophobic_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,869,878,10,mRNA,distal_terminal,disorder_rich_spacer_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,1041,1066,26,mRNA,distal_terminal,aromatic_sticker_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,1191,1218,28,mRNA,distal_terminal,aromatic_sticker_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,FLPS,1343,1348,6,mRNA,distal_terminal,hydrophobic_region,Q13395|ensembl_protein_id=ENSP00000040877|entry=TARB1_HUMAN|source=pfam27|protein_name=tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82664|ensembl_protein_id=ENSP00000053468|entry=RT10_HUMAN|source=pfam27|protein_name=Small,FLPS,178,198,21,ribosomal protein,domain_adjacent,acidic_region,P82664|ensembl_protein_id=ENSP00000053468|entry=RT10_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,FLPS,2,8,7,ribosomal protein,distal_terminal,disorder_rich_spacer_region,P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,FLPS,31,56,26,ribosomal protein,distal_terminal,disorder_rich_spacer_region,P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,FLPS,67,96,30,ribosomal protein,domain_adjacent,aromatic_sticker_region,P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,FLPS,232,259,28,ribosomal protein,domain_edge,acidic_region,P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,FLPS,273,306,34,ribosomal protein,domain_adjacent,acidic_region,P82673|ensembl_protein_id=ENSP00000081029|entry=RT35_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,119,123,5,mRNA,distal_terminal,hydrophobic_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,188,206,19,mRNA,distal_terminal,basic_enriched_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,450,475,26,mRNA,distal_terminal,aromatic_sticker_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,763,773,11,mRNA,domain_adjacent,acidic_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,883,889,7,mRNA,domain_adjacent,acidic_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,1277,1298,22,mRNA,distal_terminal,arginine_rich_rna_contact_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,1371,1380,10,mRNA,distal_terminal,hydrophobic_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,1392,1409,18,mRNA,distal_terminal,acidic_region,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,FLPS,1422,1460,39,mRNA,distal_terminal,unmapped_physicochemical_properties,O60306|ensembl_protein_id=ENSP00000156471|entry=AQR_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,4,31,28,mRNA,domain_adjacent,gs_rich_neutral_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,242,281,40,mRNA,domain_intrinsic,cation_pi_rich_neighborhood,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,392,408,17,mRNA,interdomain_linker,basic_enriched_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,736,756,21,mRNA,domain_edge,arginine_rich_rna_contact_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,798,802,5,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,1183,1202,20,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',FLPS,1248,1287,40,mRNA,interdomain_linker,disorder_rich_spacer_region,Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,18,67,50,pre-rRNA,unclassified_no_pfam,aromatic_sticker_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,79,123,45,pre-rRNA,unclassified_no_pfam,acidic_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,188,197,10,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,243,263,21,pre-rRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,351,359,9,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,372,416,45,pre-rRNA,unclassified_no_pfam,basic_enriched_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,437,488,52,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,537,557,21,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,561,580,20,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,581,592,12,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,675,688,14,pre-rRNA,unclassified_no_pfam,disorder_rich_spacer_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,781,785,5,pre-rRNA,unclassified_no_pfam,unmapped_physicochemical_properties,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,970,976,7,pre-rRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,1000,1005,6,pre-rRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,FLPS,1079,1089,11,pre-rRNA,unclassified_no_pfam,hydrophobic_region,Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,FLPS,74,84,11,mRNA,interdomain_linker,aromatic_sticker_region,Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,FLPS,171,196,26,mRNA,domain_edge,aromatic_sticker_region,Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,FLPS,262,291,30,mRNA,interdomain_linker,aromatic_sticker_region,Q9H000|ensembl_protein_id=ENSP00000170447|entry=MKRN2_HUMAN|source=pfam27|protein_name=E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,174,181,8,mRNA,domain_edge,arginine_rich_rna_contact_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,260,289,30,mRNA,distal_terminal,disorder_rich_spacer_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,363,368,6,mRNA,distal_terminal,disorder_rich_spacer_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,457,482,26,mRNA,distal_terminal,disorder_rich_spacer_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,560,567,8,mRNA,distal_terminal,aromatic_sticker_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,760,769,10,mRNA,distal_terminal,disorder_rich_spacer_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,808,840,33,mRNA,distal_terminal,aromatic_sticker_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,851,893,43,mRNA,distal_terminal,basic_enriched_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,FLPS,894,907,14,mRNA,distal_terminal,disorder_rich_spacer_region,Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46782|ensembl_protein_id=ENSP00000196551|entry=RS5_HUMAN|source=pfam27|protein_name=Small,FLPS,74,78,5,ribosomal protein,domain_intrinsic,hydrophobic_region,P46782|ensembl_protein_id=ENSP00000196551|entry=RS5_HUMAN|source=pfam27|protein_name=Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNQ2|ensembl_protein_id=ENSP00000199320|entry=DIM1_HUMAN|source=pfam27|protein_name=Dimethyladenosine,FLPS,11,20,10,pre-rRNA,domain_adjacent,arginine_rich_rna_contact_region,Q9UNQ2|ensembl_protein_id=ENSP00000199320|entry=DIM1_HUMAN|source=pfam27|protein_name=Dimethyladenosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UNQ2|ensembl_protein_id=ENSP00000199320|entry=DIM1_HUMAN|source=pfam27|protein_name=Dimethyladenosine,FLPS,34,49,16,pre-rRNA,domain_edge,unmapped_physicochemical_properties,Q9UNQ2|ensembl_protein_id=ENSP00000199320|entry=DIM1_HUMAN|source=pfam27|protein_name=Dimethyladenosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
