uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0ABB0MN55|ensembl_protein_id=ENSP00000516066|entry=A0ABB0MN55_HUMAN|source=pfam38|protein_name=Heterogeneous,mRNA,,3,137,,3+,FLPS
A0ABB0MV08|ensembl_protein_id=ENSP00000520548|entry=A0ABB0MV08_HUMAN|source=pfam38|protein_name=Heterogeneous,mRNA,,2,154,,2,FLPS
A0ABB0MVJ3|ensembl_protein_id=ENSP00000520837|entry=A0ABB0MVJ3_HUMAN|source=pfam38|protein_name=Zinc,unknown,,3,23,,3+,FLPS
A0ACI8P9Y7|ensembl_protein_id=ENSP00000524653|entry=A0ACI8P9Y7_HUMAN|source=pfam38|protein_name=DExD/H-box,unknown,,6,88,,3+,FLPS
A0ACI8PHD2|ensembl_protein_id=ENSP00000534814|entry=A0ACI8PHD2_HUMAN|source=rbpdb|protein_name=Aly/REF,unknown,,4,128,,3+,FLPS
A0ACI8PI13|ensembl_protein_id=ENSP00000535687|entry=A0ACI8PI13_HUMAN|source=pfam38|protein_name=Eukaryotic,mRNA,,1,18,,1,FLPS
A0ACI8PJP7|ensembl_protein_id=ENSP00000534057|entry=A0ACI8PJP7_HUMAN|source=pfam38|protein_name=Decapping,mRNA,,3,43,,3+,FLPS
A0ACI8PR05|ensembl_protein_id=ENSP00000537452|entry=A0ACI8PR05_HUMAN|source=pfam38|protein_name=Family,unknown,,2,31,,2,FLPS
A0ACI8PT71|ensembl_protein_id=ENSP00000545671|entry=A0ACI8PT71_HUMAN|source=pfam38|protein_name=High,unknown,,7,101,,3+,FLPS
A0ACI8PUZ8|ensembl_protein_id=ENSP00000537332|entry=A0ACI8PUZ8_HUMAN|source=pfam38|protein_name=DExH-box,unknown,,9,158,,3+,FLPS
A0ACI8PVP6|ensembl_protein_id=ENSP00000548034|entry=A0ACI8PVP6_HUMAN|source=pfam38|protein_name=Zinc,unknown,,7,116,,3+,FLPS
A0ACI8PX57|ensembl_protein_id=ENSP00000539612|entry=A0ACI8PX57_HUMAN|source=pfam38|protein_name=Heterogeneous,unknown,,3,169,,3+,FLPS
A0ACI8Q010|ensembl_protein_id=ENSP00000551422|entry=A0ACI8Q010_HUMAN|source=pfam38|protein_name=TIA1,unknown,,4,89,,3+,FLPS
A0ACI8Q0P4|ensembl_protein_id=ENSP00000522757|entry=A0ACI8Q0P4_HUMAN|source=pfam38|protein_name=RNA,unknown,,10,320,,3+,FLPS
A0ACI8Q806|ensembl_protein_id=ENSP00000536991|entry=A0ACI8Q806_HUMAN|source=pfam38|protein_name=Splicing,unknown,,6,320,,3+,FLPS
A0ACI8QA17|ensembl_protein_id=ENSP00000558771|entry=A0ACI8QA17_HUMAN|source=pfam38|protein_name=A-kinase,unknown,,4,64,,3+,FLPS
A0ACI8QBP4|ensembl_protein_id=ENSP00000556580|entry=A0ACI8QBP4_HUMAN|source=pfam38|protein_name=RNA,unknown,,1,5,,1,FLPS
A0ACI8QGH0|ensembl_protein_id=ENSP00000521502|entry=A0ACI8QGH0_HUMAN|source=pfam38|protein_name=Exosome,unknown,,1,5,,1,FLPS
A0ACI8QH16|ensembl_protein_id=ENSP00000545174|entry=A0ACI8QH16_HUMAN|source=pfam38|protein_name=Phenylalanyl-tRNA,tRNA,,2,57,,2,FLPS
A0ACI8QHW6|ensembl_protein_id=ENSP00000564499|entry=A0ACI8QHW6_HUMAN|source=pfam38|protein_name=Myeloid,unknown,,4,77,,3+,FLPS
A0ACI8QLY8|ensembl_protein_id=ENSP00000555178|entry=A0ACI8QLY8_HUMAN|source=pfam38|protein_name=Heterogeneous,unknown,,4,169,,3+,FLPS
A0ACI8QNN6|ensembl_protein_id=ENSP00000568225|entry=A0ACI8QNN6_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,9,111,,3+,FLPS
A0ACI8QTQ5|ensembl_protein_id=ENSP00000537007|entry=A0ACI8QTQ5_HUMAN|source=pfam38|protein_name=Drosha,diverse,,13,476,,3+,FLPS
A0ACI8QU73|ensembl_protein_id=ENSP00000570373|entry=A0ACI8QU73_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,9,129,,3+,FLPS
A0ACI8QUJ1|ensembl_protein_id=ENSP00000559174|entry=A0ACI8QUJ1_HUMAN|source=pfam38|protein_name=Epithelial,unknown,,6,141,,3+,FLPS
A0ACI8QY88|ensembl_protein_id=ENSP00000573927|entry=A0ACI8QY88_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,8,283,,3+,FLPS
A0ACI8R3H8|ensembl_protein_id=ENSP00000544450|entry=A0ACI8R3H8_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,5,118,,3+,FLPS
A0ACI8R7A3|ensembl_protein_id=ENSP00000572770|entry=A0ACI8R7A3_HUMAN|source=pfam38|protein_name=Musashi,unknown,,2,25,,2,FLPS
A0ACI8R7Y8|ensembl_protein_id=ENSP00000552856|entry=A0ACI8R7Y8_HUMAN|source=pfam38|protein_name=Splicing,unknown,,1,17,,1,FLPS
A0ACI8RCQ9|ensembl_protein_id=ENSP00000566975|entry=A0ACI8RCQ9_HUMAN|source=pfam38|protein_name=Splicing,unknown,,4,71,,3+,FLPS
A0ACI8RHW9|ensembl_protein_id=ENSP00000566072|entry=A0ACI8RHW9_HUMAN|source=pfam38|protein_name=Chromosome,unknown,,1,21,,1,FLPS
A0ACI8RI26|ensembl_protein_id=ENSP00000537057|entry=A0ACI8RI26_HUMAN|source=pfam38|protein_name=HIV-1,unknown,,8,423,,3+,FLPS
A0ACI8RL22|ensembl_protein_id=ENSP00000531075|entry=A0ACI8RL22_HUMAN|source=pfam38|protein_name=GREB1,unknown,,12,275,,3+,FLPS
A0ACI8RLL6|ensembl_protein_id=ENSP00000540321|entry=A0ACI8RLL6_HUMAN|source=pfam38|protein_name=Nucleolar,unknown,,6,153,,3+,FLPS
A0ACI8RMB5|ensembl_protein_id=ENSP00000550092|entry=A0ACI8RMB5_HUMAN|source=pfam38|protein_name=DEAH-box,unknown,,5,118,,3+,FLPS
A0ACI8RQX4|ensembl_protein_id=ENSP00000529365|entry=A0ACI8RQX4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,8,224,,3+,FLPS
A0ACI8RR28|ensembl_protein_id=ENSP00000569980|entry=A0ACI8RR28_HUMAN|source=pfam38|protein_name=La,unknown,,9,190,,3+,FLPS
A0ACI8RSP0|ensembl_protein_id=ENSP00000537904|entry=A0ACI8RSP0_HUMAN|source=pfam38|protein_name=Mitochondrial,ribosomal protein,,2,56,,2,FLPS
A0ACI8RTZ8|ensembl_protein_id=ENSP00000548255|entry=A0ACI8RTZ8_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,2,66,,2,FLPS
A0ACI8RWF6|ensembl_protein_id=ENSP00000547754|entry=A0ACI8RWF6_HUMAN|source=pfam38|protein_name=ATP,unknown,,2,66,,2,FLPS
A0ACI8RX58|ensembl_protein_id=ENSP00000566199|entry=A0ACI8RX58_HUMAN|source=pfam38|protein_name=Nucleolin,unknown,,9,295,,3+,FLPS
A0ACI8S0C5|ensembl_protein_id=ENSP00000536292|entry=A0ACI8S0C5_HUMAN|source=pfam38|protein_name=Chromodomain,unknown,,4,80,,3+,FLPS
A0ACI8S113|ensembl_protein_id=ENSP00000574846|entry=A0ACI8S113_HUMAN|source=pfam38|protein_name=DEAH-box,unknown,,10,258,,3+,FLPS
A0ACI8S5H4|ensembl_protein_id=ENSP00000547908|entry=A0ACI8S5H4_HUMAN|source=pfam38|protein_name=Myosin,unknown,,7,142,,3+,FLPS
A0ACI8S5T8|ensembl_protein_id=ENSP00000578589|entry=A0ACI8S5T8_HUMAN|source=pfam38|protein_name=G-rich,unknown,,7,135,,3+,FLPS
A0ACI8SAU3|ensembl_protein_id=ENSP00000563294|entry=A0ACI8SAU3_HUMAN|source=pfam38|protein_name=FA,unknown,,12,279,,3+,FLPS
A0ACI8SBH9|ensembl_protein_id=ENSP00000565181|entry=A0ACI8SBH9_HUMAN|source=pfam38|protein_name=Zinc,unknown,,1,5,,1,FLPS
A0ACI8SEY7|ensembl_protein_id=ENSP00000574643|entry=A0ACI8SEY7_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,4,90,,3+,FLPS
A0ACI8SJI5|ensembl_protein_id=ENSP00000581576|entry=A0ACI8SJI5_HUMAN|source=pfam38|protein_name=RAD54,unknown,,4,68,,3+,FLPS
A0ACI8SJX5|ensembl_protein_id=ENSP00000581777|entry=A0ACI8SJX5_HUMAN|source=pfam38|protein_name=Helicase,unknown,,6,122,,3+,FLPS
A0ACI8SL57|ensembl_protein_id=ENSP00000582458|entry=A0ACI8SL57_HUMAN|source=pfam38|protein_name=Ribosomal,ribosomal protein,,3,77,,3+,FLPS
A0ACI8SMB7|ensembl_protein_id=ENSP00000583287|entry=A0ACI8SMB7_HUMAN|source=pfam38|protein_name=ERCC,unknown,,2,60,,2,FLPS
A0ACI8SNF6|ensembl_protein_id=ENSP00000583750|entry=A0ACI8SNF6_HUMAN|source=pfam38|protein_name=Ribosomal,ribosomal protein,,1,27,,1,FLPS
A0ACI8SPJ0|ensembl_protein_id=ENSP00000584299|entry=A0ACI8SPJ0_HUMAN|source=pfam38|protein_name=Small,snRNA,,9,128,,3+,FLPS
A0ACI8SQV4|ensembl_protein_id=ENSP00000585151|entry=A0ACI8SQV4_HUMAN|source=pfam38|protein_name=RNA,unknown,,2,74,,2,FLPS
A0ACI8SRJ7|ensembl_protein_id=ENSP00000585595|entry=A0ACI8SRJ7_HUMAN|source=pfam38|protein_name=Peptidylprolyl,unknown,,2,27,,2,FLPS
A0ACI8SRT4|ensembl_protein_id=ENSP00000585561|entry=A0ACI8SRT4_HUMAN|source=pfam38|protein_name=Mitochondrial,ribosomal protein,,2,46,,2,FLPS
A0ACI8SSD0|ensembl_protein_id=ENSP00000580280|entry=A0ACI8SSD0_HUMAN|source=pfam38|protein_name=Zinc,unknown,,2,48,,2,FLPS
A0ACI8SUQ9|ensembl_protein_id=ENSP00000587092|entry=A0ACI8SUQ9_HUMAN|source=pfam38|protein_name=Small,snRNA,,1,5,,1,FLPS
A0ACI8SXP5|ensembl_protein_id=ENSP00000588446|entry=A0ACI8SXP5_HUMAN|source=pfam38|protein_name=DAZ,unknown,,2,151,,2,FLPS
A0ACI8SYT5|ensembl_protein_id=ENSP00000589125|entry=A0ACI8SYT5_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,4,111,,3+,FLPS
A0ACI8SZ27|ensembl_protein_id=ENSP00000589452|entry=A0ACI8SZ27_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,2,31,,2,FLPS
A0ACI8T088|ensembl_protein_id=ENSP00000589759|entry=A0ACI8T088_HUMAN|source=pfam38|protein_name=Zinc,unknown,,2,45,,2,FLPS
A0ACI8T0E0|ensembl_protein_id=ENSP00000589862|entry=A0ACI8T0E0_HUMAN|source=pfam38|protein_name=Ribosomal,ribosomal protein,,1,17,,1,FLPS
A0ACI8T1C0|ensembl_protein_id=ENSP00000590583|entry=A0ACI8T1C0_HUMAN|source=pfam38|protein_name=Zinc,unknown,,1,41,,1,FLPS
A0ACI8T6P5|ensembl_protein_id=ENSP00000593804|entry=A0ACI8T6P5_HUMAN|source=pfam38|protein_name=PIF1,unknown,,4,140,,3+,FLPS
A0ACI8T7F0|ensembl_protein_id=ENSP00000594267|entry=A0ACI8T7F0_HUMAN|source=pfam38|protein_name=Valyl-tRNA,tRNA,,5,74,,3+,FLPS
A0ACI8T823|ensembl_protein_id=ENSP00000594055|entry=A0ACI8T823_HUMAN|source=pfam38|protein_name=Musashi,unknown,,1,8,,1,FLPS
A0ACI8T9E2|ensembl_protein_id=ENSP00000595223|entry=A0ACI8T9E2_HUMAN|source=pfam38|protein_name=Heterogeneous,unknown,,1,38,,1,FLPS
A0ACI8TCF1|ensembl_protein_id=ENSP00000596096|entry=A0ACI8TCF1_HUMAN|source=pfam38|protein_name=DExD-box,unknown,,1,5,,1,FLPS
A0ACI8TEP7|ensembl_protein_id=ENSP00000598117|entry=A0ACI8TEP7_HUMAN|source=pfam38|protein_name=KIAA1586,unknown,,3,56,,3+,FLPS
A0ACI8TFG6|ensembl_protein_id=ENSP00000597971|entry=A0ACI8TFG6_HUMAN|source=pfam38|protein_name=Glutamyl-prolyl-tRNA,tRNA,,5,77,,3+,FLPS
A0ACI8TH72|ensembl_protein_id=ENSP00000599203|entry=A0ACI8TH72_HUMAN|source=pfam38|protein_name=Mtr4,unknown,,2,26,,2,FLPS
A0ACI8TIT4|ensembl_protein_id=ENSP00000599322|entry=A0ACI8TIT4_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,2,37,,2,FLPS
A0ACI8TJ61|ensembl_protein_id=ENSP00000599614|entry=A0ACI8TJ61_HUMAN|source=pfam38|protein_name=Lysosomal,unknown,,2,10,,2,FLPS
A0ACI8TJP2|ensembl_protein_id=ENSP00000600755|entry=A0ACI8TJP2_HUMAN|source=pfam38|protein_name=Activating,unknown,,8,90,,3+,FLPS
A0ACI8TLG3|ensembl_protein_id=ENSP00000601012|entry=A0ACI8TLG3_HUMAN|source=pfam38|protein_name=Isoleucyl-tRNA,tRNA,,3,31,,3+,FLPS
A0ACI8TLM1|ensembl_protein_id=ENSP00000601044|entry=A0ACI8TLM1_HUMAN|source=pfam38|protein_name=Serine,unknown,,1,42,,1,FLPS
A0ACI8TLS0|ensembl_protein_id=ENSP00000600860|entry=A0ACI8TLS0_HUMAN|source=pfam38|protein_name=Zinc,unknown,,3,36,,3+,FLPS
A0ACI8TML7|ensembl_protein_id=ENSP00000601183|entry=A0ACI8TML7_HUMAN|source=pfam38|protein_name=Transcription,unknown,,9,216,,3+,FLPS
A0ACI8TMU3|ensembl_protein_id=ENSP00000602450|entry=A0ACI8TMU3_HUMAN|source=pfam38|protein_name=DEAH-box,unknown,,3,54,,3+,FLPS
A0ACI8TN08|ensembl_protein_id=ENSP00000602445|entry=A0ACI8TN08_HUMAN|source=pfam38|protein_name=SNF2,unknown,,6,74,,3+,FLPS
A0ACI8TNP0|ensembl_protein_id=ENSP00000601844|entry=A0ACI8TNP0_HUMAN|source=pfam38|protein_name=Zinc,unknown,,5,76,,3+,FLPS
A0ACI8TNW3|ensembl_protein_id=ENSP00000602606|entry=A0ACI8TNW3_HUMAN|source=pfam38|protein_name=RAD54,unknown,,3,32,,3+,FLPS
A0ACI8TQP9|ensembl_protein_id=ENSP00000603010|entry=A0ACI8TQP9_HUMAN|source=pfam38|protein_name=DNA,unknown,,11,210,,3+,FLPS
A0ACI8TQS2|ensembl_protein_id=ENSP00000603358|entry=A0ACI8TQS2_HUMAN|source=pfam38|protein_name=Chromodomain,unknown,,33,903,,3+,FLPS
A0ACI8TS18|ensembl_protein_id=ENSP00000604701|entry=A0ACI8TS18_HUMAN|source=pfam38|protein_name=DEAH-box,unknown,,8,242,,3+,FLPS
A0ACI8TS68|ensembl_protein_id=ENSP00000604362|entry=A0ACI8TS68_HUMAN|source=pfam38|protein_name=Eukaryotic,mRNA,,1,18,,1,FLPS
A0ACI8TSN5|ensembl_protein_id=ENSP00000603908|entry=A0ACI8TSN5_HUMAN|source=pfam38|protein_name=Ribosomal,ribosomal protein,,3,40,,3+,FLPS
A0ACI8TSY6|ensembl_protein_id=ENSP00000605202|entry=A0ACI8TSY6_HUMAN|source=pfam38|protein_name=YTH,unknown,,7,171,,3+,FLPS
A0ACI8TTG6|ensembl_protein_id=ENSP00000605440|entry=A0ACI8TTG6_HUMAN|source=pfam38|protein_name=Leucyl-tRNA,tRNA,,3,72,,3+,FLPS
A0ACI8TUA9|ensembl_protein_id=ENSP00000604834|entry=A0ACI8TUA9_HUMAN|source=pfam38|protein_name=Heterogeneous,unknown,,7,230,,3+,FLPS
A0ACI8TUB7|ensembl_protein_id=ENSP00000605829|entry=A0ACI8TUB7_HUMAN|source=pfam38|protein_name=General,unknown,,3,59,,3+,FLPS
A0ACI8TWM6|ensembl_protein_id=ENSP00000607088|entry=A0ACI8TWM6_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,10,199,,3+,FLPS
A0ACI8TXE9|ensembl_protein_id=ENSP00000606511|entry=A0ACI8TXE9_HUMAN|source=pfam38|protein_name=BLM,unknown,,9,154,,3+,FLPS
A0ACI8TZ93|ensembl_protein_id=ENSP00000607153|entry=A0ACI8TZ93_HUMAN|source=pfam38|protein_name=TIA1,unknown,,3,65,,3+,FLPS
A0ACI8TZD7|ensembl_protein_id=ENSP00000607569|entry=A0ACI8TZD7_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,7,146,,3+,FLPS
A0ACI8TZE9|ensembl_protein_id=ENSP00000608341|entry=A0ACI8TZE9_HUMAN|source=pfam38|protein_name=La,unknown,,5,110,,3+,FLPS
A0ACI8U1B9|ensembl_protein_id=ENSP00000608475|entry=A0ACI8U1B9_HUMAN|source=pfam38|protein_name=Interleukin,unknown,,9,316,,3+,FLPS
A0ACI8U399|ensembl_protein_id=ENSP00000609319|entry=A0ACI8U399_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,6,171,,3+,FLPS
A0ACI8U6C5|ensembl_protein_id=ENSP00000611011|entry=A0ACI8U6C5_HUMAN|source=pfam38|protein_name=SNF2,unknown,,8,164,,3+,FLPS
A0ACI8U7J9|ensembl_protein_id=ENSP00000613263|entry=A0ACI8U7J9_HUMAN|source=pfam38|protein_name=PPFIA,unknown,,8,120,,3+,FLPS
A0ACI8U804|ensembl_protein_id=ENSP00000612016|entry=A0ACI8U804_HUMAN|source=pfam38|protein_name=Myoferlin,unknown,,13,145,,3+,FLPS
A0ACI8UB86|ensembl_protein_id=ENSP00000613338|entry=A0ACI8UB86_HUMAN|source=pfam38|protein_name=PRKR,unknown,,5,97,,3+,FLPS
A0ACI8UDX5|ensembl_protein_id=ENSP00000616700|entry=A0ACI8UDX5_HUMAN|source=pfam38|protein_name=DEAD-box,unknown,,2,23,,2,FLPS
A0ACI8UEC4|ensembl_protein_id=ENSP00000616910|entry=A0ACI8UEC4_HUMAN|source=pfam38|protein_name=N-ethylmaleimide,unknown,,3,40,,3+,FLPS
A0ACI8UES1|ensembl_protein_id=ENSP00000617206|entry=A0ACI8UES1_HUMAN|source=pfam38|protein_name=Heterogeneous,unknown,,2,65,,2,FLPS
