method,algorithm,sheet,cluster_column,n_proteins,n_clusters,workbook
CAST,hierarchical,k3,cluster_hierarchical_k3,1055,3,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hierarchical.xlsx
CAST,hierarchical,k4,cluster_hierarchical_k4,1055,4,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hierarchical.xlsx
CAST,hierarchical,k5,cluster_hierarchical_k5,1055,5,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hierarchical.xlsx
CAST,hierarchical,k6,cluster_hierarchical_k6,1055,6,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hierarchical.xlsx
CAST,hdbscan,hdbscan,cluster_hdbscan,1055,1,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hdbscan.xlsx
FLPS,pam,k2,cluster_pam_k2,1697,2,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_pam.xlsx
FLPS,pam,k3,cluster_pam_k3,1697,3,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_pam.xlsx
FLPS,pam,k4,cluster_pam_k4,1697,4,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_pam.xlsx
FLPS,pam,k5,cluster_pam_k5,1697,5,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_pam.xlsx
FLPS,pam,k6,cluster_pam_k6,1697,6,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_pam.xlsx
FLPS,hierarchical,k2,cluster_hierarchical_k2,1697,2,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hierarchical.xlsx
FLPS,hierarchical,k3,cluster_hierarchical_k3,1697,3,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hierarchical.xlsx
FLPS,hierarchical,k4,cluster_hierarchical_k4,1697,4,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hierarchical.xlsx
FLPS,hierarchical,k5,cluster_hierarchical_k5,1697,5,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hierarchical.xlsx
FLPS,hierarchical,k6,cluster_hierarchical_k6,1697,6,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hierarchical.xlsx
FLPS,hdbscan,hdbscan,cluster_hdbscan,1697,1,lcr_analyses\clustering\rna_class_overlap\FLPS\overlap_hdbscan.xlsx
LCRFinder,pam,k2,cluster_pam_k2,1008,2,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k3,cluster_pam_k3,1008,3,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k4,cluster_pam_k4,1008,4,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k5,cluster_pam_k5,1008,5,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,pam,k6,cluster_pam_k6,1008,6,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_pam.xlsx
LCRFinder,hierarchical,k2,cluster_hierarchical_k2,1008,2,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k3,cluster_hierarchical_k3,1008,3,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k4,cluster_hierarchical_k4,1008,4,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k5,cluster_hierarchical_k5,1008,5,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hierarchical,k6,cluster_hierarchical_k6,1008,6,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hierarchical.xlsx
LCRFinder,hdbscan,hdbscan,cluster_hdbscan,1008,1,lcr_analyses\clustering\rna_class_overlap\LCRFinder\overlap_hdbscan.xlsx
SEG,pam,k2,cluster_pam_k2,296,2,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k3,cluster_pam_k3,296,3,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k4,cluster_pam_k4,296,4,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k5,cluster_pam_k5,296,5,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,pam,k6,cluster_pam_k6,296,6,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_pam.xlsx
SEG,hierarchical,k2,cluster_hierarchical_k2,296,2,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k3,cluster_hierarchical_k3,296,3,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k4,cluster_hierarchical_k4,296,4,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k5,cluster_hierarchical_k5,296,5,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hierarchical,k6,cluster_hierarchical_k6,296,6,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hierarchical.xlsx
SEG,hdbscan,hdbscan,cluster_hdbscan,296,3,lcr_analyses\clustering\rna_class_overlap\SEG\overlap_hdbscan.xlsx
SEG_intermediate,pam,k2,cluster_pam_k2,622,2,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k3,cluster_pam_k3,622,3,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k4,cluster_pam_k4,622,4,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k5,cluster_pam_k5,622,5,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,pam,k6,cluster_pam_k6,622,6,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_pam.xlsx
SEG_intermediate,hierarchical,k2,cluster_hierarchical_k2,622,2,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k3,cluster_hierarchical_k3,622,3,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k4,cluster_hierarchical_k4,622,4,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k5,cluster_hierarchical_k5,622,5,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hierarchical,k6,cluster_hierarchical_k6,622,6,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hierarchical.xlsx
SEG_intermediate,hdbscan,hdbscan,cluster_hdbscan,622,3,lcr_analyses\clustering\rna_class_overlap\SEG_intermediate\overlap_hdbscan.xlsx
