protein_accession,method,lcr_start,lcr_end,pfam_accession,pfam_name,domain_start,domain_end,overlap_length,lcr_domain_fraction,domain_lcr_fraction,is_domain_edge
Q8IXZ2,CAST,131,924,PF00642,zf-CCCH,776,794,19,0.0239,1.0,True
Q9UPR6,CAST,550,585,PF07528,DZF_N,585,783,1,0.0278,0.005,True
Q9BSC4,CAST,422,686,PF08159,NUC153,482,508,27,0.1019,1.0,True
Q5FWF4,CAST,473,726,PF00641,Zn_ribbon_RanBP,625,647,23,0.0906,1.0,True
O43432,CAST,1073,1228,PF02847,MA3,1222,1333,7,0.0449,0.0625,True
O43432,CAST,842,884,PF02854,MIF4G,756,981,43,1.0,0.1903,False
Q9Y2X3,CAST,386,528,PF01798,Nop,168,396,11,0.0769,0.048,True
O15234,CAST,65,235,PF09405,Btz,144,248,92,0.538,0.8762,True
O15234,CAST,9,155,PF09405,Btz,144,248,12,0.0816,0.1143,True
Q9NXL6,CAST,338,416,PF13965,SID-1_RNA_chan,184,827,79,1.0,0.1227,False
Q96KR1,CAST,356,560,PF12171,zf-C2H2_jaz,331,356,1,0.0049,0.0385,True
Q96KR1,CAST,356,560,PF12874,zf-met,383,406,24,0.1171,1.0,True
Q9UNX3,CAST,11,145,PF16906,Ribosomal_L26,8,122,112,0.8296,0.9739,True
Q9UNX3,CAST,11,145,PF00467,KOW,51,83,33,0.2444,1.0,True
P51531,CAST,216,700,PF07533,BRK,589,632,44,0.0907,1.0,True
P51531,CAST,488,688,PF07533,BRK,589,632,44,0.2189,1.0,True
O94906,CAST,58,156,PF06424,PRP1_N,13,169,99,1.0,0.6306,False
A7MD48,CAST,87,609,PF15230,SRRM_C,457,522,66,0.1262,1.0,True
A7MD48,CAST,399,598,PF15230,SRRM_C,457,522,66,0.33,1.0,True
Q86U38,CAST,162,181,PF22493,PUF_NOP9,97,598,20,1.0,0.0398,False
P37108,CAST,31,107,PF02290,SRP14,4,94,64,0.8312,0.7033,True
Q8WYQ9,CAST,63,925,PF00098,zf-CCHC,908,923,16,0.0185,1.0,True
O43823,CAST,312,692,PF04988,AKAP95,415,546,132,0.3465,1.0,True
P62979,CAST,78,120,PF01599,Ribosomal_S27,102,149,19,0.4419,0.3958,True
P82675,CAST,111,191,PF21251,Ribosomal_uS5m_N,88,207,81,1.0,0.675,False
Q96NC0,CAST,115,182,PF08648,SNRNP27,178,197,5,0.0735,0.25,True
Q96NC0,CAST,102,170,PF12874,zf-met,80,104,3,0.0435,0.12,True
Q96NC0,CAST,102,170,PF12171,zf-C2H2_jaz,80,105,4,0.058,0.1538,True
Q96NC0,CAST,102,170,PF06220,zf-U1,80,108,7,0.1014,0.2414,True
Q13405,CAST,53,83,PF05046,Img2,82,166,2,0.0645,0.0235,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1415,1443,11,0.019,0.3793,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1479,1508,30,0.0519,1.0,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1543,1571,29,0.0502,1.0,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1606,1635,30,0.0519,1.0,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1665,1694,30,0.0519,1.0,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1724,1753,30,0.0519,1.0,True
P49792,CAST,1433,2010,PF00641,Zn_ribbon_RanBP,1781,1809,29,0.0502,1.0,True
Q86SE8,CAST,118,187,PF03066,Nucleoplasmin,17,122,5,0.0714,0.0472,True
Q5SZQ8,CAST,146,351,PF00076,RRM_1,97,161,16,0.0777,0.2462,True
Q15424,CAST,59,796,PF02037,SAP,31,66,8,0.0108,0.2222,True
Q15424,CAST,59,796,PF00076,RRM_1,409,477,69,0.0935,1.0,True
Q15424,CAST,59,796,PF13893,RRM_5,409,491,83,0.1125,1.0,True
Q15424,CAST,274,621,PF00076,RRM_1,409,477,69,0.1983,1.0,True
Q15424,CAST,274,621,PF13893,RRM_5,409,491,83,0.2385,1.0,True
Q15424,CAST,480,554,PF13893,RRM_5,409,491,12,0.16,0.1446,True
Q9NQ29,CAST,222,344,PF03194,LUC7,6,243,22,0.1789,0.0924,True
Q9NQ29,CAST,96,172,PF03194,LUC7,6,243,77,1.0,0.3235,False
Q6I9Y2,CAST,76,203,PF05615,THOC7,7,139,64,0.5,0.4812,True
O95391,CAST,176,246,PF11708,Slu7,162,434,71,1.0,0.2601,False
Q9H814,CAST,300,390,PF10258,PHAX_RNA-bd,230,313,14,0.1538,0.1667,True
Q9H814,CAST,158,243,PF10258,PHAX_RNA-bd,230,313,14,0.1628,0.1667,True
A0A087WT20,CAST,505,590,PF04158,Sof1,506,592,85,0.9884,0.977,True
O94913,CAST,793,940,PF20844,PCF11_RFEG_rpt,777,861,69,0.4662,0.8118,True
O94913,CAST,793,940,PF20844,PCF11_RFEG_rpt,864,962,77,0.5203,0.7778,True
O94913,CAST,195,243,PF20845,Pcf11_helical,199,236,38,0.7755,1.0,True
Q9BRS8,CAST,23,112,PF05383,La,97,153,16,0.1778,0.2807,True
Q05481,CAST,311,889,PF00096,zf-C2H2,294,316,6,0.0104,0.2609,True
Q05481,CAST,311,889,PF00096,zf-C2H2,322,344,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,350,372,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,378,400,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,406,428,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,462,484,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,490,512,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,546,568,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,574,596,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,630,652,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,658,680,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,686,708,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,714,736,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,742,764,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,770,792,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,798,820,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,826,848,23,0.0397,1.0,True
Q05481,CAST,311,889,PF00096,zf-C2H2,854,876,23,0.0397,1.0,True
P51608,CAST,9,365,PF01429,MBD,96,159,64,0.1793,1.0,True
Q96MH2,CAST,88,276,PF15313,HEXIM,102,226,125,0.6614,1.0,True
Q7Z570,CAST,84,126,PF12171,zf-C2H2_jaz,57,84,1,0.0233,0.0357,True
Q9BTL3,CAST,44,90,PF15320,RAM,10,87,44,0.9362,0.5641,True
Q32MZ4,CAST,18,804,PF09738,LRRFIP,23,316,294,0.3736,1.0,True
O43290,CAST,27,631,PF03343,SART-1,165,753,467,0.7719,0.7929,True
O15446,CAST,211,508,PF08208,RNA_polI_A34,38,254,44,0.1477,0.2028,True
O15446,CAST,129,147,PF08208,RNA_polI_A34,38,254,19,1.0,0.0876,False
Q14103,CAST,7,66,PF08143,CBFNT,1,78,60,1.0,0.7692,True
Q14103,CAST,10,71,PF08143,CBFNT,1,78,62,1.0,0.7949,True
Q92665,CAST,68,98,PF15433,MRP-S31,96,389,3,0.0968,0.0102,True
Q96E39,CAST,110,388,PF08081,RBM1CTR,173,217,45,0.1613,1.0,True
Q13435,CAST,319,563,PF04037,DUF382,471,596,93,0.3796,0.7381,True
Q6ZP01,CAST,684,939,PF00076,RRM_1,833,896,64,0.25,1.0,True
Q96SI9,CAST,561,646,PF00035,dsrm,513,574,14,0.1628,0.2258,True
Q9Y3A4,CAST,208,278,PF12923,RRP7,162,280,71,1.0,0.5966,True
Q9Y3A4,CAST,178,201,PF12923,RRP7,162,280,24,1.0,0.2017,False
Q15050,CAST,173,365,PF04939,RRS1,32,193,21,0.1088,0.1296,True
P05387,CAST,56,91,PF00428,Ribosomal_60s,17,114,36,1.0,0.3673,False
P05387,CAST,91,108,PF00428,Ribosomal_60s,17,114,18,1.0,0.1837,True
Q9BWU0,CAST,224,668,PF00035,dsrm,316,384,69,0.1551,1.0,True
Q8TDD1,CAST,587,863,PF08147,DBP10CT,714,774,61,0.2202,1.0,True
Q8TDD1,CAST,731,880,PF08147,DBP10CT,714,774,44,0.2933,0.7213,True
Q96MX3,CAST,390,454,PF00096,zf-C2H2,451,473,4,0.0615,0.1739,True
Q69YN2,CAST,313,327,PF04677,CwfJ_C_1,322,428,6,0.4,0.0561,True
Q86XZ4,CAST,71,545,PF07139,SPATS2-like,81,385,305,0.6421,1.0,True
Q86XZ4,CAST,86,97,PF07139,SPATS2-like,81,385,12,1.0,0.0393,True
Q8NDV7,CAST,159,1944,PF10427,Ago_hook,1071,1200,130,0.0728,1.0,True
Q6P9B9,CAST,96,116,PF14837,INTS5_N,29,251,21,1.0,0.0942,False
Q9NRA8,CAST,668,775,PF10477,EIF4E-T,30,711,44,0.4074,0.0645,True
Q9NRA8,CAST,167,290,PF10477,EIF4E-T,30,711,124,1.0,0.1818,False
O94992,CAST,25,351,PF15313,HEXIM,164,301,138,0.422,1.0,True
O94992,CAST,143,188,PF15313,HEXIM,164,301,25,0.5435,0.1812,True
A4D1E1,CAST,82,114,PF12171,zf-C2H2_jaz,55,82,1,0.0303,0.0357,True
B0QYK0,CAST,434,602,PF00641,Zn_ribbon_RanBP,480,510,31,0.1834,1.0,True
B0QYK0,CAST,508,521,PF00641,Zn_ribbon_RanBP,480,510,3,0.2143,0.0968,True
P26641,CAST,211,278,PF00647,EF1G,275,381,4,0.0588,0.0374,True
Q00577,CAST,273,322,PF04845,PurA,58,278,6,0.12,0.0271,True
Q9NQ50,CAST,46,133,PF09812,MRP-L28,45,199,88,1.0,0.5677,True
F8W6I7,CAST,195,304,PF11627,HnRNPA1_LC,242,279,38,0.3455,1.0,True
Q92973,CAST,4,50,PF03810,IBN_N,42,108,9,0.1915,0.1343,True
P82979,CAST,43,109,PF02037,SAP,8,43,1,0.0149,0.0278,True
Q8WU90,CAST,4,177,PF00642,zf-CCCH,100,124,25,0.1437,1.0,True
Q04637,CAST,848,889,PF02854,MIF4G,762,987,42,1.0,0.1858,False
Q9UPY3,CAST,1388,1449,PF00636,Ribonuclease_3,1313,1396,9,0.1452,0.1071,True
Q9UPY3,CAST,1778,1803,PF14622,Ribonucleas_3_3,1681,1825,26,1.0,0.1793,False
Q9UPY3,CAST,1778,1803,PF00636,Ribonuclease_3,1702,1824,26,1.0,0.2114,False
Q5T9H5,CAST,58,79,PF05741,zf-nanos,6,58,1,0.0455,0.0189,True
Q969Q0,CAST,6,100,PF00935,Ribosomal_L44,17,94,78,0.8211,1.0,True
P46778,CAST,77,122,PF01157,Ribosomal_L21e,1,101,25,0.5435,0.2475,True
P05386,CAST,48,89,PF00428,Ribosomal_60s,23,113,42,1.0,0.4615,False
P05386,CAST,89,107,PF00428,Ribosomal_60s,23,113,19,1.0,0.2088,True
P22626,CAST,201,349,PF11627,HnRNPA1_LC,296,334,39,0.2617,1.0,True
Q8NI27,CAST,900,976,PF11262,Tho2,873,1173,77,1.0,0.2558,False
Q9HAU5,CAST,994,1094,PF04050,Upf2,1094,1218,1,0.0099,0.008,True
Q9HAU5,CAST,4,186,PF02854,MIF4G,168,335,19,0.1038,0.1131,True
Q9HAU5,CAST,1176,1256,PF04050,Upf2,1094,1218,43,0.5309,0.344,True
P62854,CAST,97,114,PF01283,Ribosomal_S26e,1,104,8,0.4444,0.0769,True
P26599,CAST,294,361,PF13893,RRM_5,338,459,24,0.3529,0.1967,True
P26599,CAST,145,181,PF13893,RRM_5,166,263,16,0.4324,0.1633,True
Q32P51,CAST,195,317,PF11627,HnRNPA1_LC,255,292,38,0.3089,1.0,True
O75179,CAST,1535,2458,PF00013,KH_1,1728,1790,63,0.0682,1.0,True
Q9UGY1,CAST,23,84,PF09805,Nop25,20,97,62,1.0,0.7949,True
Q9NTZ6,CAST,74,184,PF28441,RRM_11,5,83,10,0.0901,0.1266,True
Q9BZE4,CAST,389,479,PF08155,NOGCT,395,446,52,0.5714,1.0,True
Q8IWZ3,CAST,1508,2453,PF00013,KH_1,1699,1760,62,0.0655,1.0,True
O14602,CAST,116,143,PF01176,eIF-1a,23,117,2,0.0714,0.0211,True
Q12905,CAST,3,22,PF07528,DZF_N,22,216,1,0.05,0.0051,True
Q9Y3B9,CAST,98,242,PF07890,Rrp15p,92,215,118,0.8138,0.9516,True
Q9UPN6,CAST,193,462,PF06495,Transformer,397,467,66,0.2444,0.9296,True
Q9UPN6,CAST,397,462,PF06495,Transformer,397,467,66,1.0,0.9296,True
Q9UPN6,CAST,397,449,PF06495,Transformer,397,467,53,1.0,0.7465,True
P12270,CAST,10,2066,PF02403,Seryl_tRNA_N,1402,1504,103,0.0501,1.0,True
P12270,CAST,1433,1545,PF02403,Seryl_tRNA_N,1402,1504,72,0.6372,0.699,True
P55265,CAST,549,707,PF00035,dsrm,504,567,19,0.1195,0.2969,True
P55265,CAST,549,707,PF00035,dsrm,615,679,65,0.4088,1.0,True
A0A0A0MRM9,CAST,58,688,PF05022,SRP40_C,633,705,56,0.0887,0.7671,True
Q9UKA9,CAST,285,336,PF13893,RRM_5,321,434,16,0.3077,0.1404,True
P46777,CAST,220,284,PF14204,Ribosomal_L18_c,236,289,49,0.7538,0.9074,True
Q06787,CAST,529,553,PF12235,FXMRP1_C_core,420,542,14,0.56,0.1138,True
Q8NC51,CAST,228,338,PF04774,HABP4_PAI-RBP1,189,313,86,0.7748,0.688,True
Q8NC51,CAST,164,189,PF04774,HABP4_PAI-RBP1,189,313,1,0.0385,0.008,True
Q99459,CAST,496,553,PF11831,Myb_Cef,404,654,58,1.0,0.2311,False
O95793,CAST,232,382,PF00035,dsrm,186,249,18,0.1192,0.2812,True
O95793,CAST,232,382,PF00035,dsrm,287,352,66,0.4371,1.0,True
Q96GM8,CAST,335,347,PF04857,CAF1,169,451,13,1.0,0.0459,False
P55795,CAST,214,261,PF08080,zf-RNPHF,255,290,7,0.1458,0.1944,True
Q13310,CAST,481,562,PF00658,MLLE,558,623,5,0.061,0.0758,True
Q9Y3A2,CAST,6,253,PF03998,Utp11,13,253,241,0.9718,1.0,True
Q86U90,CAST,12,126,PF01300,Sua5_yciO_yrdC,77,255,50,0.4348,0.2793,True
Q9NX07,CAST,185,225,PF17654,Trnau1ap,186,284,40,0.9756,0.404,True
Q09161,CAST,656,708,PF09090,MIF4G_like_2,485,759,53,1.0,0.1927,False
Q5JVS0,CAST,245,344,PF04774,HABP4_PAI-RBP1,212,315,71,0.71,0.6827,True
Q9H1J1,CAST,172,387,PF03467,Smg4_UPF3,68,225,54,0.25,0.3418,True
Q9H1J1,CAST,222,301,PF03467,Smg4_UPF3,68,225,4,0.05,0.0253,True
Q9H1J1,CAST,222,262,PF03467,Smg4_UPF3,68,225,4,0.0976,0.0253,True
Q5VYS8,CAST,1363,1452,PF00098,zf-CCHC,1452,1468,1,0.0111,0.0588,True
P61978,CAST,2,44,PF08067,ROKNT,1,43,42,0.9767,0.9767,True
P61978,CAST,2,44,PF13083,KH_KhpA-B,36,70,9,0.2093,0.2571,True
P05388,CAST,262,300,PF00428,Ribosomal_60s,231,316,39,1.0,0.4535,False
Q9H4T2,CAST,107,240,PF00096,zf-C2H2,236,258,5,0.0373,0.2174,True
Q9UHK0,CAST,159,307,PF12171,zf-C2H2_jaz,173,194,22,0.1477,1.0,True
Q9UHK0,CAST,159,307,PF10453,NUFIP1,216,267,52,0.349,1.0,True
O60870,CAST,143,202,PF10357,WH_KIN17,59,177,35,0.5833,0.2941,True
P47813,CAST,116,143,PF01176,eIF-1a,23,117,2,0.0714,0.0211,True
Q9BYN8,CAST,57,163,PF14943,MRP-S26,28,196,107,1.0,0.6331,False
Q9NWH9,CAST,57,907,PF02037,SAP,22,57,1,0.0012,0.0278,True
Q9NWH9,CAST,57,907,PF13893,RRM_5,368,479,112,0.1316,1.0,True
Q9NWH9,CAST,57,907,PF00076,RRM_1,386,455,70,0.0823,1.0,True
Q9NWH9,CAST,272,553,PF13893,RRM_5,368,479,112,0.3972,1.0,True
Q9NWH9,CAST,272,553,PF00076,RRM_1,386,455,70,0.2482,1.0,True
Q9NWH9,CAST,458,552,PF13893,RRM_5,368,479,22,0.2316,0.1964,True
Q9NWZ8,CAST,107,200,PF15348,GEMIN8,14,242,94,1.0,0.4105,False
J3KPK3,CAST,44,457,PF00076,RRM_1,10,79,36,0.087,0.5143,True
J3KPK3,CAST,44,457,PF08081,RBM1CTR,174,218,45,0.1087,1.0,True
Q8WWM7,CAST,232,938,PF06741,LsmAD,264,332,69,0.0976,1.0,True
Q8WWM7,CAST,232,938,PF07145,PAM2,654,669,16,0.0226,1.0,True
A6NDE4,CAST,44,494,PF00076,RRM_1,10,79,36,0.0798,0.5143,True
A6NDE4,CAST,44,494,PF08081,RBM1CTR,174,218,45,0.0998,1.0,True
O43148,CAST,6,168,PF03291,mRNA_G-N7_MeTrfase,137,475,32,0.1963,0.0944,True
Q14444,CAST,258,594,PF12287,Caprin-1_C,359,685,236,0.7003,0.7217,True
Q9BUJ2,CAST,9,208,PF02037,SAP,3,38,30,0.15,0.8333,True
Q9NYF8,CAST,4,772,PF15440,THRAP3_BCLAF1,108,761,654,0.8505,1.0,True
Q9NYF8,CAST,3,168,PF15440,THRAP3_BCLAF1,108,761,61,0.3675,0.0933,True
Q9NYF8,CAST,356,785,PF15440,THRAP3_BCLAF1,108,761,406,0.9442,0.6208,True
Q9NYF8,CAST,161,201,PF15440,THRAP3_BCLAF1,108,761,41,1.0,0.0627,False
Q9NYF8,CAST,676,773,PF15440,THRAP3_BCLAF1,108,761,86,0.8776,0.1315,True
Q66PJ3,CAST,5,100,PF10500,SR-25,7,235,94,0.9792,0.4105,True
Q66PJ3,CAST,6,133,PF10500,SR-25,7,235,127,0.9922,0.5546,True
P55010,CAST,347,425,PF02020,W2,311,390,44,0.557,0.55,True
Q9Y291,CAST,81,106,PF08293,MRP-S33,7,96,16,0.6154,0.1778,True
J3KPP4,CAST,231,382,PF03194,LUC7,4,245,15,0.0987,0.062,True
J3KPP4,CAST,228,454,PF03194,LUC7,4,245,18,0.0793,0.0744,True
Q9ULR0,CAST,174,278,PF06246,Isy1,1,266,93,0.8857,0.3496,True
P31943,CAST,214,261,PF08080,zf-RNPHF,255,290,7,0.1458,0.1944,True
P83731,CAST,56,147,PF01246,Ribosomal_L24e,1,66,11,0.1196,0.1667,True
P46199,CAST,447,511,PF11987,IF-2,508,606,4,0.0615,0.0404,True
Q9BVP2,CAST,2,136,PF08701,GN3L_Grn1,15,88,74,0.5481,1.0,True
P51825,CAST,97,1150,PF05110,AF-4,8,520,424,0.4023,0.8265,True
P51825,CAST,497,608,PF05110,AF-4,8,520,24,0.2143,0.0468,True
Q99613,CAST,114,303,PF05470,eIF-3c_N,31,705,190,1.0,0.2815,False
Q99613,CAST,258,288,PF05470,eIF-3c_N,31,705,31,1.0,0.0459,False
Q99613,CAST,216,242,PF05470,eIF-3c_N,31,705,27,1.0,0.04,False
Q96QR8,CAST,153,214,PF04845,PurA,31,279,62,1.0,0.249,False
P50914,CAST,93,214,PF01929,Ribosomal_L14e,47,120,28,0.2295,0.3784,True
P62241,CAST,123,157,PF01201,Ribosomal_S8e,5,190,35,1.0,0.1882,False
Q92945,CAST,498,612,PF09005,FUBP_C,611,632,2,0.0174,0.0909,True
Q92945,CAST,604,711,PF09005,FUBP_C,611,632,22,0.2037,1.0,True
Q92945,CAST,604,711,PF09005,FUBP_C,670,685,16,0.1481,1.0,True
Q12906,CAST,25,84,PF07528,DZF_N,11,221,60,1.0,0.2844,False
Q9UPQ9,CAST,128,1801,PF10427,Ago_hook,928,1059,132,0.0789,1.0,True
Q9NVR5,CAST,204,253,PF08190,PIH1,43,207,4,0.08,0.0242,True
Q99575,CAST,137,199,PF06978,POP1_N,107,183,47,0.746,0.6104,True
Q99575,CAST,137,199,PF06978,POP1_N,172,257,28,0.4444,0.3256,True
G5E9G0,CAST,63,103,PF00297,Ribosomal_L3,1,323,41,1.0,0.1269,False
P42696,CAST,355,430,PF00076,RRM_1,289,358,4,0.0526,0.0571,True
Q14966,CAST,276,895,PF00076,RRM_1,679,729,51,0.0823,1.0,True
Q8N5P1,CAST,35,227,PF00642,zf-CCCH,193,216,24,0.1244,1.0,True
Q8N5P1,CAST,35,227,PF00642,zf-CCCH,222,245,6,0.0311,0.25,True
B8ZZ98,CAST,68,102,PF08648,SNRNP27,98,119,5,0.1429,0.2273,True
P62750,CAST,4,70,PF03939,Ribosomal_L23eN,17,67,51,0.7612,1.0,True
Q9H3J6,CAST,129,164,PF00472,RF-1,54,147,19,0.5278,0.2021,True
P27824,CAST,273,354,PF00262,Calreticulin,71,440,82,1.0,0.2216,False
Q5RKV6,CAST,41,174,PF01138,RNase_PH,36,175,134,1.0,0.9571,True
P0C7P1,CAST,44,494,PF00076,RRM_1,10,79,36,0.0798,0.5143,True
P0C7P1,CAST,44,494,PF08081,RBM1CTR,174,218,45,0.0998,1.0,True
D4PHA4,CAST,316,445,PF15337,Vasculin,395,491,51,0.3923,0.5258,True
D4PHA4,CAST,476,492,PF15337,Vasculin,395,491,16,0.9412,0.1649,True
Q02878,CAST,4,87,PF03868,Ribosomal_L6e_N,36,95,52,0.619,0.8667,True
P78316,CAST,72,401,PF04147,Nop14,26,846,330,1.0,0.4019,False
P78316,CAST,778,857,PF04147,Nop14,26,846,69,0.8625,0.084,True
P78316,CAST,174,249,PF04147,Nop14,26,846,76,1.0,0.0926,False
Q9UMY1,CAST,80,257,PF08157,NUC129,172,234,63,0.3539,1.0,True
J3KQ82,CAST,44,457,PF00076,RRM_1,10,79,36,0.087,0.5143,True
J3KQ82,CAST,44,457,PF08081,RBM1CTR,174,218,45,0.1087,1.0,True
Q9BQ75,CAST,46,100,PF14617,CMS1,61,263,40,0.7273,0.197,True
Q5QJE6,CAST,584,753,PF08698,Fcf2,638,731,94,0.5529,1.0,True
X6RJY0,CAST,50,313,PF04615,Utp14,7,299,250,0.947,0.8532,True
