uniprot_accession	is_rbp	label_source
O15056	True	master_direct
O15060	False	
O15061	False	
O15062	False	
O15066	False	
O15067	False	
O15068	False	
O15072	False	
O15075	False	
O15078	False	
O15079	False	
O15083	False	
O15084	False	
O15085	False	
O15091	True	gene_patch
O15105	True	master_direct
O15111	False	
O15116	True	master_direct
O15117	False	
O15118	False	
O15119	False	
O15120	False	
O15121	False	
O15123	False	
O15126	False	
O15127	False	
O15130	False	
O15131	False	
O15143	False	
O15144	False	
O15145	False	
O15146	False	
O15151	False	
O15155	False	
O15156	False	
O15160	False	
O15162	False	
O15164	False	
O15165	False	
O15169	False	
O15173	False	
O15178	False	
O15182	False	
O15194	False	
O15195	False	
O15197	False	
O15198	True	master_direct
O15204	False	
O15205	False	
O15209	False	
O15211	False	
O15212	False	
O15213	True	master_direct
O15217	False	
O15218	False	
O15226	True	master_direct
O15228	False	
O15229	False	
O15230	False	
O15231	False	
O15232	False	
O15234	True	master_direct
O15239	False	
O15240	False	
O15243	False	
O15244	False	
O15245	False	
O15247	False	
O15254	False	
O15258	False	
O15259	False	
O15260	False	
O15263	False	
O15264	False	
O15265	False	
O15266	False	
O15269	False	
O15270	False	
O15273	False	
O15287	False	
O15294	False	
O15296	False	
O15297	False	
O15303	False	
O15304	False	
O15305	False	
O15315	False	
O15318	False	
O15327	False	
O15342	False	
O15344	False	
O15347	False	
O15350	False	
O15353	False	
O15354	False	
O15355	False	
O15357	False	
O15360	False	
O15370	False	
O15371	True	master_direct
O15372	True	master_direct
O15374	False	
O15379	False	
O15381	False	
O15382	False	
O15389	False	
O15391	False	
O15392	False	
O15393	False	
O15394	False	
O15397	True	master_direct
O15399	False	
O15400	False	
O15405	False	
O15409	False	
O15417	False	
O15427	False	
O15431	False	
O15432	False	
O15438	False	
O15439	False	
O15440	False	
O15444	False	
O15446	True	master_direct
O15455	True	master_direct
O15457	False	
O15460	False	
O15466	False	
O15467	False	
O15479	False	
O15481	False	
O15484	False	
O15488	False	
O15492	False	
O15496	False	
O15498	False	
O15499	False	
O15503	False	
O15504	True	master_direct
O15511	False	
O15514	True	master_direct
O15516	False	
O15519	False	
O15520	False	
O15522	False	
O15523	True	master_direct
O15524	False	
O15525	False	
O15527	False	
O15528	False	
O15529	False	
O15530	False	
O15533	False	
O15534	False	
O15535	False	
O15537	False	
O15540	False	
O15541	True	master_direct
O15547	False	
O15550	False	
O15551	False	
O15552	False	
O15553	False	
O15554	False	
O42043	False	
O43143	True	master_direct
O43147	False	
O43148	True	master_direct
O43149	False	
O43150	False	
O43151	False	
O43155	False	
O43156	False	
O43157	False	
O43159	True	master_direct
O43164	False	
O43166	False	
O43167	False	
O43169	False	
O43172	True	master_direct
O43173	False	
O43174	False	
O43175	False	
O43181	False	
O43182	False	
O43184	False	
O43186	False	
O43187	False	
O43189	False	
O43193	False	
O43194	False	
O43196	False	
O43236	False	
O43237	False	
O43240	False	
O43242	False	
O43248	False	
O43251	True	master_direct
O43252	False	
O43255	False	
O43257	False	
O43264	False	
O43272	False	
O43278	False	
O43280	False	
O43281	False	
O43283	False	
O43286	False	
O43290	True	master_direct
O43291	False	
O43292	False	
O43293	False	
O43294	False	
O43295	False	
O43296	False	
O43298	False	
O43299	False	
O43300	False	
O43303	False	
O43306	False	
O43307	False	
O43309	False	
O43310	True	master_direct
O43312	False	
O43313	False	
O43314	False	
O43315	False	
O43316	False	
O43318	False	
O43320	False	
O43323	False	
O43324	True	master_direct
O43353	False	
O43364	False	
O43365	False	
O43374	False	
O43379	False	
O43390	True	master_direct
O43395	True	master_direct
O43396	False	
O43399	False	
O43402	False	
O43405	False	
O43422	True	master_direct
O43424	False	
O43426	True	master_direct
O43427	False	
O43432	True	master_direct
O43435	False	
O43439	False	
O43447	True	master_direct
O43448	False	
O43451	False	
O43462	False	
O43463	False	
O43464	False	
O43474	False	
O43482	False	
O43488	False	
O43490	False	
O43491	False	
O43493	False	
O43497	False	
O43502	False	
O43504	False	
O43505	False	
O43506	False	
O43508	False	
O43511	False	
O43513	False	
O43516	False	
O43520	False	
O43521	False	
O43524	False	
O43525	False	
O43526	False	
O43529	False	
O43541	True	master_direct
O43542	False	
O43543	False	
O43548	False	
O43556	False	
O43557	False	
O43559	False	
O43561	False	
O43566	False	
O43567	False	
O43570	False	
O43572	False	
O43581	False	
O43583	True	gene_patch
O43586	False	
O43592	True	gene_patch
O43593	False	
O43597	False	
O43598	False	
O43602	False	
O43603	False	
O43609	False	
O43610	False	
O43612	False	
O43613	False	
O43614	False	
O43615	False	
O43617	False	
O43623	False	
O43633	False	
O43639	False	
O43653	False	
O43660	True	master_direct
O43663	False	
O43665	False	
O43670	False	
O43674	False	
O43676	False	
O43678	False	
O43679	False	
O43680	False	
O43681	False	
O43683	False	
O43684	False	
O43687	False	
O43688	False	
O43699	False	
O43704	False	
O43707	False	
O43708	False	
O43709	True	master_direct
O43711	False	
O43715	False	
O43716	True	master_direct
O43719	True	master_direct
O43731	False	
O43734	False	
O43739	False	
O43741	False	
O43745	False	
O43747	False	
O43749	False	
O43752	False	
O43759	False	
O43760	False	
O43761	False	
O43765	False	
O43766	False	
O43768	False	
O43772	False	
O43776	True	master_direct
O43781	False	
O43790	False	
O43791	False	
O43795	False	
O43805	False	
O43808	False	
O43809	True	master_direct
O43813	False	
O43815	False	
O43818	True	master_direct
O43819	False	
O43820	False	
O43822	False	
O43823	True	master_direct
O43825	False	
O43826	False	
O43827	False	
O43829	False	
O43837	False	
O43847	False	
O43852	False	
O43854	False	
O43861	False	
O43865	False	
O43866	False	
O43868	False	
O43889	False	
O43895	False	
O43896	False	
O43897	False	
O43900	False	
O43903	False	
O43909	False	
O43913	False	
O43914	False	
O43915	False	
O43916	False	
O43918	False	
O43920	False	
O43921	False	
O43924	False	
O43927	False	
O43929	False	
O43933	False	
O60216	False	
O60218	False	
O60220	False	
O60229	False	
O60231	True	master_direct
O60232	False	
O60235	False	
O60237	False	
O60238	False	
O60239	False	
O60240	False	
O60241	False	
O60242	False	
O60243	False	
O60244	False	
O60245	False	
O60248	False	
O60256	False	
O60258	False	
O60259	False	
O60260	False	
O60264	False	
O60266	False	
O60269	False	
O60271	False	
O60281	False	
O60282	False	
O60284	False	
O60285	False	
O60291	False	
O60292	False	
O60293	True	master_direct
O60294	True	master_direct
O60296	False	
O60303	False	
O60304	False	
O60306	True	master_direct
O60307	False	
O60308	False	
O60312	False	
O60313	False	
O60315	False	
O60318	True	master_direct
O60331	False	
O60333	False	
O60336	False	
O60337	False	
O60341	False	
O60343	False	
O60346	False	
O60353	False	
O60356	False	
O60359	False	
O60381	False	
O60383	False	
O60391	False	
O60393	False	
O60423	False	
O60427	False	
O60437	False	
O60443	False	
O60447	False	
O60449	False	
O60462	False	
O60469	False	
O60476	False	
O60477	False	
O60478	False	
O60479	False	
O60481	False	
O60486	False	
O60487	False	
O60488	False	
O60493	False	
O60494	False	
O60496	False	
O60499	False	
O60500	False	
O60502	False	
O60503	False	
O60504	False	
O60506	True	master_direct
O60507	False	
O60508	True	master_direct
O60512	False	
O60513	False	
O60516	False	
O60519	False	
O60524	False	
O60543	False	
O60547	False	
O60548	False	
O60551	False	
O60563	True	master_direct
O60565	False	
O60566	False	
O60568	False	
O60573	True	master_direct
O60583	True	master_direct
O60602	False	
O60603	True	master_direct
O60609	False	
O60610	False	
O60613	False	
O60635	False	
O60636	False	
O60641	False	
O60645	False	
O60656	False	
O60658	False	
O60662	False	
O60663	False	
O60664	False	
O60667	False	
O60669	False	
O60671	False	
O60673	False	
O60674	False	
O60675	False	
O60678	False	
O60682	False	
O60683	False	
O60684	False	
O60687	False	
O60701	False	
O60704	False	
O60706	False	
O60711	False	
O60716	False	
O60721	False	
O60725	False	
O60729	False	
O60733	False	
O60741	False	
O60749	False	
O60755	False	
O60759	False	
O60760	False	
O60762	False	
O60763	False	
O60779	False	
O60783	True	master_direct
O60784	False	
O60806	False	
O60812	True	master_direct
O60814	False	
O60825	False	
O60826	False	
O60828	True	master_direct
O60829	False	
O60830	False	
O60831	False	
O60832	True	master_direct
O60840	False	
O60841	True	master_direct
O60844	False	
O60858	False	
O60861	False	
O60869	False	
O60870	True	master_direct
O60879	False	
O60880	False	
O60882	False	
O60883	False	
O60884	False	
O60885	False	
O60888	False	
O60890	False	
O60894	False	
O60895	False	
O60896	False	
O60902	False	
O60906	False	
O60907	False	
O60909	False	
O60911	False	
O60921	False	
O60925	False	
O60927	False	
O60928	False	
O60930	True	master_direct
O60931	False	
O60934	False	
O60936	False	
O60938	False	
O60939	False	
O60941	False	
O60942	True	master_direct
O75015	False	
O75019	False	
O75022	False	
O75023	False	
O75027	False	
O75030	False	
O75031	False	
O75037	False	
O75038	False	
O75044	False	
O75051	False	
O75052	False	
O75054	False	
O75056	False	
O75061	False	
O75063	False	
O75069	False	
O75072	False	
O75074	False	
O75077	False	
O75078	False	
O75081	False	
O75083	False	
O75084	False	
O75093	False	
O75094	False	
O75095	False	
O75096	False	
O75106	False	
O75110	False	
O75112	False	
O75113	True	master_direct
O75116	False	
O75121	False	
O75122	False	
O75127	True	master_direct
O75128	False	
O75129	False	
O75131	False	
O75132	True	master_direct
O75140	False	
O75143	False	
O75144	False	
O75145	False	
O75146	False	
O75147	False	
O75150	False	
O75151	False	
O75152	True	master_direct
O75154	False	
O75155	False	
O75159	False	
O75161	False	
O75164	False	
O75165	False	
O75167	False	
O75170	False	
O75173	False	
O75175	False	
O75177	False	
O75179	True	master_direct
O75182	False	
O75185	False	
O75190	False	
O75191	False	
O75192	False	
O75197	False	
O75204	False	
O75208	False	
O75223	False	
O75251	False	
O75293	False	
O75298	False	
O75306	False	
O75309	False	
O75311	False	
O75312	False	
O75317	False	
O75319	True	master_direct
O75323	False	
O75324	False	
O75326	False	
O75330	False	
O75334	False	
O75339	False	
O75340	False	
O75342	False	
O75343	False	
O75344	False	
O75347	False	
O75348	False	
O75351	False	
O75352	False	
O75354	False	
O75355	False	
O75356	False	
O75360	False	
O75362	False	
O75364	False	
O75365	False	
O75366	False	
O75367	False	
O75368	False	
O75369	False	
O75376	False	
O75379	False	
O75380	False	
O75381	False	
O75382	False	
O75385	False	
O75386	False	
O75387	False	
O75390	False	
O75396	False	
O75398	False	
O75400	True	gene_patch
O75409	False	
O75410	False	
O75414	False	
O75417	False	
O75419	False	
O75420	False	
O75425	False	
O75426	False	
O75427	False	
O75431	False	
O75436	False	
O75438	False	
O75439	False	
O75443	False	
O75444	False	
O75445	False	
O75446	False	
O75448	False	
O75449	False	
O75452	False	
O75460	True	master_direct
O75461	False	
O75462	False	
O75469	False	
O75473	False	
O75475	True	master_direct
O75477	False	
O75478	False	
O75486	False	
O75487	False	
O75489	False	
O75494	True	master_direct
O75496	False	
O75503	False	
O75506	False	
O75508	False	
O75509	False	
O75521	False	
O75525	True	master_direct
O75528	False	
O75529	False	
O75530	True	master_direct
O75531	False	
O75533	True	master_direct
O75534	True	master_direct
O75553	False	
O75554	False	
O75556	False	
O75558	False	
O75563	False	
O75564	False	
O75569	True	master_direct
O75570	True	gene_patch
O75575	False	
O75578	False	
O75581	False	
O75582	False	
O75586	False	
O75592	False	
O75593	False	
O75594	False	
O75600	False	
O75602	False	
O75603	False	
O75604	False	
O75607	True	master_direct
O75608	False	
O75610	False	
O75616	True	master_direct
O75618	False	
O75626	False	
O75628	False	
O75629	False	
O75631	False	
O75636	False	
O75638	False	
O75643	True	master_direct
O75648	True	master_direct
O75663	False	
O75665	False	
O75674	False	
O75676	False	
O75677	False	
O75679	False	
O75688	False	
O75689	False	
O75691	True	master_direct
O75694	False	
O75695	False	
O75712	False	
O75716	False	
O75717	False	
O75718	False	
O75746	False	
O75747	False	
O75751	False	
O75752	False	
O75762	False	
O75771	False	
O75781	False	
O75783	False	
O75787	False	
O75791	False	
O75792	True	master_direct
O75794	False	
O75795	False	
O75800	False	
O75807	False	
O75808	False	
O75815	False	
O75817	True	master_direct
O75818	True	master_direct
O75821	True	master_direct
O75822	True	gene_patch
O75828	False	
O75829	False	
O75832	False	
O75838	False	
O75840	False	
O75841	False	
O75843	False	
O75844	False	
O75845	False	
O75864	False	
O75865	False	
O75871	False	
O75874	False	
O75879	True	gene_patch
O75880	False	
O75881	False	
O75882	False	
O75884	False	
O75886	False	
O75888	False	
O75891	False	
O75896	False	
O75897	False	
O75899	False	
O75900	False	
O75907	False	
O75908	False	
O75909	False	
O75911	False	
O75912	False	
O75914	False	
O75915	False	
O75916	False	
O75920	False	
O75923	True	master_direct
O75925	False	
O75928	False	
O75934	False	
O75935	False	
O75936	False	
O75937	False	
O75940	True	master_direct
O75943	False	
O75947	False	
O75951	False	
O75952	False	
O75955	False	
O75956	False	
O75962	False	
O75964	False	
O75969	False	
O75970	False	
O75971	False	
O75976	False	
O76003	False	
O76011	False	
O76013	False	
O76014	False	
O76015	False	
O76021	True	gene_patch
O76024	False	
O76027	False	
O76031	False	
O76036	False	
O76039	False	
O76041	False	
O76050	False	
O76054	False	
O76061	False	
O76062	False	
O76064	False	
O76070	False	
O76071	False	
O76074	False	
O76075	False	
O76076	False	
O76081	False	
O76082	False	
O76083	False	
O76090	False	
O76093	False	
O76094	False	
O76095	False	
O76096	False	
O77932	True	master_direct
O94759	False	
O94760	False	
O94761	True	master_direct
O94762	True	master_direct
O94763	False	
O94766	False	
O94768	False	
O94769	False	
O94776	False	
O94777	False	
O94778	False	
O94779	False	
O94782	False	
O94788	False	
O94804	False	
O94805	False	
O94806	False	
O94808	False	
O94810	False	
O94811	False	
O94812	False	
O94813	False	
O94817	False	
O94818	False	
O94822	False	
O94823	False	
O94826	False	
O94827	False	
O94829	True	master_direct
O94830	False	
O94832	False	
O94842	False	
O94844	False	
O94850	False	
O94851	False	
O94855	False	
O94856	False	
O94864	False	
O94868	False	
O94874	True	master_direct
O94875	False	
O94876	False	
O94880	False	
O94885	False	
O94886	True	master_direct
O94887	False	
O94888	False	
O94889	False	
O94892	False	
O94898	False	
O94900	False	
O94901	False	
O94905	False	
O94906	True	master_direct
O94907	False	
O94910	False	
O94911	False	
O94913	True	master_direct
O94915	False	
O94916	False	
O94919	False	
O94921	False	
O94923	False	
O94925	False	
O94927	False	
O94929	False	
O94933	False	
O94941	False	
O94953	False	
O94955	False	
O94956	False	
O94964	False	
O94966	False	
O94972	False	
O94973	False	
O94979	False	
O94983	False	
O94985	False	
O94986	False	
O94989	False	
O94991	False	
O94992	True	master_direct
O94993	False	
O95045	False	
O95047	False	
O95049	False	
O95050	False	
O95057	False	
O95059	True	master_direct
O95067	False	
O95069	False	
O95070	False	
O95071	False	
O95072	False	
O95073	False	
O95104	True	master_direct
O95125	False	
O95136	False	
O95139	False	
O95140	False	
O95147	False	
O95149	True	master_direct
O95150	False	
O95153	False	
O95154	False	
O95155	False	
O95159	False	
O95163	True	master_direct
O95166	False	
O95167	False	
O95169	False	
O95171	False	
O95180	False	
O95182	False	
O95183	False	
O95185	False	
O95190	False	
O95196	False	
O95197	False	
O95198	False	
O95201	False	
O95202	False	
O95206	False	
O95208	False	
O95210	False	
O95214	False	
O95218	True	master_direct
O95219	False	
O95229	False	
O95231	False	
O95232	True	gene_patch
O95235	False	
O95236	False	
O95237	False	
O95238	False	
O95239	False	
O95243	False	
O95248	False	
O95249	False	
O95251	False	
O95255	False	
O95256	False	
O95257	False	
O95258	False	
O95259	False	
O95260	False	
O95263	False	
O95264	False	
O95267	False	
O95271	False	
O95273	False	
O95274	False	
O95278	False	
O95279	False	
O95292	False	
O95294	False	
O95295	False	
O95297	False	
O95298	False	
O95299	False	
O95302	False	
O95319	True	master_direct
O95340	False	
O95342	False	
O95343	False	
O95347	False	
O95352	False	
O95359	False	
O95361	False	
O95363	True	master_direct
O95365	False	
O95372	False	
O95373	True	master_direct
O95376	False	
O95377	False	
O95379	False	
O95382	False	
O95388	False	
O95389	False	
O95390	False	
O95391	True	master_direct
O95393	False	
O95394	False	
O95395	False	
O95396	True	master_direct
O95398	False	
O95399	False	
O95400	True	master_direct
O95402	False	
O95405	False	
O95406	False	
O95407	False	
O95409	False	
O95415	False	
O95416	False	
O95425	False	
O95427	False	
O95428	False	
O95429	False	
O95433	False	
O95436	False	
O95445	False	
O95447	False	
O95450	False	
O95452	False	
O95453	True	master_direct
O95455	False	
O95456	False	
O95460	False	
O95461	False	
O95466	False	
O95467	False	
O95470	False	
O95471	False	
O95475	False	
O95476	False	
O95477	False	
O95479	False	
O95484	False	
O95486	False	
O95487	False	
O95490	False	
O95497	False	
O95498	False	
O95500	False	
O95503	False	
O95528	False	
O95544	False	
O95551	False	
O95562	False	
O95563	False	
O95568	False	
O95571	False	
O95573	False	
O95600	False	
O95602	False	
O95613	False	
O95619	False	
O95622	False	
O95628	True	master_direct
O95630	False	
O95631	False	
O95633	False	
O95639	True	master_direct
O95644	False	
O95670	False	
O95671	False	
O95672	False	
O95674	False	
O95677	False	
O95678	False	
O95684	False	
O95696	False	
O95704	False	
O95707	True	master_direct
O95711	False	
O95714	False	
O95715	False	
O95716	False	
O95718	False	
O95721	False	
O95727	False	
O95741	False	
O95747	False	
O95749	False	
O95750	False	
O95751	False	
O95754	False	
O95755	False	
O95758	True	master_direct
O95760	False	
O95772	False	
O95777	True	master_direct
O95782	False	
O95785	False	
O95786	True	master_direct
O95789	False	
O95793	True	master_direct
O95801	False	
O95803	False	
O95807	False	
O95810	False	
O95813	False	
O95816	False	
O95817	False	
O95819	False	
O95822	False	
O95825	False	
O95831	False	
O95832	False	
O95833	False	
O95834	False	
O95835	False	
O95837	False	
O95843	False	
O95847	False	
O95848	False	
O95858	False	
O95859	False	
O95861	False	
O95863	False	
O95864	False	
O95865	False	
O95866	False	
O95867	False	
O95868	False	
O95870	False	
O95872	False	
O95876	False	
O95881	False	
O95886	False	
O95897	False	
O95900	True	master_direct
O95905	False	
O95907	False	
O95922	False	
O95925	False	
O95926	True	master_direct
O95931	False	
O95932	False	
O95935	False	
O95936	False	
O95944	False	
O95947	False	
O95948	False	
O95954	False	
O95965	False	
O95967	False	
O95968	False	
O95970	False	
O95971	False	
O95972	False	
O95977	False	
O95980	False	
O95983	False	
O95985	True	master_direct
O95988	False	
O95989	True	master_direct
O95990	False	
O95992	False	
O95994	False	
O95995	False	
O95996	False	
O95997	False	
O95998	False	
O95999	False	
O96000	False	
O96004	False	
O96005	False	
O96006	True	master_direct
O96007	False	
O96008	False	
O96009	False	
O96011	False	
O96013	False	
O96014	False	
O96015	False	
O96017	False	
O96018	False	
O96019	False	
O96020	False	
O96024	False	
O96028	False	
O96033	False	
O97980	False	
P00156	False	
