uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
P31942,346.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.9838080786838626
A7MD48,611.0,mRNA,SEG,1,2,2,2,0,2,4,2,2,2,1,0.9276944281407364
Q5VZF2,373.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
P37108,136.0,ncRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.6321715981043315
Q9H0W8,520.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9HC10,1997.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,-1,0.0
Q96HR8,494.0,snoRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.825061714365393
Q8IZD4,617.0,mRNA,SEG,1,2,0,2,3,2,3,3,3,3,1,0.7337753997817555
Q5T200,1668.0,unknown,SEG,1,2,1,2,0,2,4,2,4,2,1,0.706842834374054
Q2TBE0,894.0,mRNA,SEG,0,2,0,2,0,2,4,2,4,2,1,0.9701166076307659
P47974,494.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
O95104,1147.0,mRNA,SEG,0,2,0,2,3,2,0,2,0,2,1,0.9165571603704433
O60841,1220.0,tRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6436179437360782
Q86SE8,214.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.787024628752312
Q5SZQ8,465.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9NQ29,371.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.9585428584375683
A0AV96,593.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
O14776,1098.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.6843136384535782
O95391,586.0,mRNA,SEG,1,2,1,2,0,2,4,2,4,2,1,0.8595605368625029
Q8TA86,221.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.7163565500146404
P62314,119.0,snRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.8704220684401964
Q15287,305.0,mRNA,SEG,1,2,2,2,2,2,2,2,2,2,1,0.6018827170214314
Q1KMD3,747.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8625085745329828
P51608,486.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
P17480,764.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.5977366343740905
Q15696,482.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8696284420926147
Q7Z570,1209.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9NZJ5,1116.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,-1,0.0
Q9BWF3,364.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q32MZ4,808.0,ncRNA,SEG,0,2,0,2,0,2,4,2,4,2,1,0.8276734720268849
Q9BQ04,359.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q8IY37,1157.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q9UHB9,627.0,ncRNA,SEG,0,2,0,2,3,2,3,3,5,3,1,1.0
Q86YN6,1023.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8600856067302066
Q13151,305.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.6931790190191122
Q15022,739.0,ncRNA,SEG,0,2,0,2,3,2,3,3,5,3,1,0.8775024202883647
Q7Z6E9,1792.0,mRNA,SEG,0,2,0,2,3,2,0,2,0,2,1,0.8221871373550264
P19338,710.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.416830083991493
Q13435,895.0,mRNA,SEG,0,2,0,3,3,3,0,4,0,5,0,0.57453764334773
Q7KZ85,1726.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7929426424843169
Q8NAF0,562.0,unknown,SEG,0,2,2,2,2,2,2,3,2,3,1,1.0
Q9BWU0,742.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7490075803561999
Q8NDV7,1962.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.8872883439916529
Q6P9B9,1019.0,snRNA,SEG,0,2,0,2,3,2,3,3,5,3,1,0.9814643345444977
P98175,930.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.9179287059254755
Q6ZN04,569.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.8675448223335513
B0QYK0,618.0,mRNA,SEG,0,2,0,2,2,2,2,3,2,3,1,0.8784244217977996
Q00577,322.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.7963983578688237
F8W6I7,307.0,mRNA,SEG,0,2,2,2,2,2,2,3,5,3,1,0.9838080786838626
Q8WXA9,508.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.9479988041694062
Q92973,898.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6705723442994618
Q6PKG0,1096.0,mRNA,SEG,0,2,0,2,2,2,2,3,2,3,1,0.9707091913275958
Q13523,1007.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.636560043416867
Q9Y388,322.0,mRNA,SEG,1,2,2,2,0,2,4,2,2,2,1,0.8609454127487939
Q86U06,439.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
P06748,294.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.585074243050825
Q13485,552.0,ncRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q04637,1599.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q96MT3,831.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.649203388960113
Q9UJV8,347.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,1.0
Q14157,1087.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,1.0
Q8WW36,166.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.9421815151498485
P22626,353.0,mRNA,SEG,0,2,0,2,3,2,3,3,5,3,1,0.8148464407099287
P18583,2426.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.9701166076307659
P23246,707.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.796944935185289
P78362,688.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
O75179,2603.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6383410557864676
Q6P2E9,1401.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9NTZ6,932.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.8438550305971474
Q9H7N4,1312.0,mRNA,SEG,1,2,2,3,0,4,4,5,4,6,0,0.3772128778032454
Q8IWZ3,2542.0,unknown,SEG,0,2,0,2,0,2,4,2,4,2,1,0.8471298704412059
P49760,499.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,1.0
Q9NVH2,962.0,snRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9UPN6,1271.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9341070328695423
P12270,2363.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.550217646773982
Q08211,1270.0,ncRNA,SEG,0,2,0,2,3,2,0,3,5,3,1,0.8996138449818656
Q9Y3Y2,248.0,mRNA,SEG,0,2,0,2,2,2,2,3,2,3,1,0.7920038528936264
Q14152,1382.0,mRNA,SEG,1,2,2,3,0,3,4,4,4,5,1,0.6206540341837534
Q5T481,1227.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q96IP4,442.0,unknown,SEG,0,2,0,2,2,2,2,3,5,3,1,0.7702057844023802
A0A0A0MRM9,708.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.48704758486133
X6R7H2,631.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.9710534761994879
Q5VTL8,546.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,1.0
O75607,178.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7370329393285232
Q9UKA9,531.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q06787,632.0,mRNA,SEG,0,2,0,2,2,2,2,3,2,3,1,1.0
Q8NC51,408.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.9976263018060874
P46100,2492.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7209157065716942
Q08170,494.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.9712421505901581
Q6BEB4,398.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q96T58,3664.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.7226487539690172
Q5VYS8,1495.0,ncRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8939167413714577
P05388,317.0,ribosomal protein,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
O60293,1989.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9BX46,236.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.7259813434578314
Q01081,240.0,mRNA,SEG,1,2,2,2,2,2,2,3,2,3,1,0.9388781977861763
Q9NWH9,1034.0,mRNA,SEG,0,2,1,2,0,2,4,2,4,2,1,0.7478388583015196
Q16594,264.0,snoRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.4248509285582329
P62995,288.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,1.0
A0A5K1VW79,999.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0A140T8Y2,407.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q53F19,620.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q96L91,3159.0,unknown,SEG,0,2,0,3,3,3,0,4,0,5,0,0.6023667894229925
Q7Z6M4,381.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.45306539490255915
Q9BUJ2,856.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9NYF8,920.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.8056804963466804
Q66PJ3,237.0,mRNA,SEG,0,2,2,2,0,2,4,3,2,3,1,0.7779901871420513
Q13595,282.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9UIF8,2168.0,ncRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6646365368663595
J3KPP4,489.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8737869501747574
O14647,1828.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7291120828627874
P35269,517.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8736398638139239
Q5T760,491.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.9762428732865703
P51825,1210.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7649264067221174
Q99613,913.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.62742868811072
Q96QR8,312.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
P50914,215.0,ribosomal protein,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q52LJ0,433.0,tRNA,SEG,0,1,0,1,2,1,2,1,5,1,1,0.653519769116721
Q92945,711.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9847808940460957
Q3L8U1,2897.0,unknown,SEG,1,2,2,2,2,2,2,2,5,2,1,0.5720724636307366
Q6P6C2,394.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q86XN8,651.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q12906,894.0,mRNA,SEG,0,2,0,2,3,2,0,3,5,3,1,0.9597822833750514
Q9UPQ9,1833.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9047382250514419
Q5U5Q3,659.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
B5MCU0,990.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0A7N4I394,994.0,snRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9Y4B4,1467.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.833199084423111
B8ZZ98,158.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.4905310586505937
C9JAB2,235.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8824916571582653
E7ETU5,370.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.928434092526076
Q16630,551.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.7617656505254629
O00571,662.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q5GAN6,216.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,-1,0.0
Q00839,825.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6620531123036648
Q15637,639.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9865111165109013
Q8NE35,698.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q5RKV6,272.0,diverse,SEG,0,2,0,2,3,2,3,3,3,3,1,0.9341070328695423
Q6P158,1386.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
A0A0A0MSN9,333.0,mRNA,SEG,1,2,2,3,0,3,4,4,4,5,1,0.5167349447904573
P51991,378.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.6703998534156785
Q13428,1488.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.5046271687818856
Q5QJE6,756.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
Q8NE71,845.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6933526129422223
Q8WUQ7,758.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8607041319420814
Q5QPL9,237.0,mRNA,SEG,0,2,0,2,3,2,0,3,5,3,1,0.8627752032824594
P54253,815.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9UHC7,482.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,1.0
A0A0C4DG89,1032.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8780227447312894
C9JE40,543.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8305420375097707
Q9H2U1,1008.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q86TG7,708.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q5T7N2,865.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
C9JP00,348.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
D6R9W6,518.0,mRNA,SEG,0,2,0,2,0,2,4,3,2,3,1,1.0
F6VAP0,555.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q9NP92,439.0,ribosomal protein,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6850484981472871
Q99729,332.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,1.0
P49756,843.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.42578838626970716
E9PIF2,835.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
A1L020,520.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
E9PMM9,218.0,ribosomal protein,SEG,0,2,2,2,2,2,2,3,2,3,1,1.0
Q9Y2W1,955.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.9366946282843138
H0YDK8,900.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
P51513,507.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
A0A0C4DGG8,1043.0,mRNA,SEG,0,2,0,2,2,2,3,3,3,3,1,0.8772845483781184
Q8IWX8,916.0,mRNA,SEG,0,2,2,2,0,2,0,2,0,2,1,0.7932506932617592
Q15233,471.0,ncRNA,SEG,0,2,2,2,2,2,2,3,3,3,1,0.5205881998156391
Q9Y4C8,960.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.918056006976467
Q9UPS6,1966.0,ncRNA,SEG,0,2,0,3,3,3,0,4,0,5,-1,0.0
P56270,477.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9262670637697539
Q7Z5Q1,589.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9NP64,241.0,unknown,SEG,0,2,2,2,0,2,4,2,4,2,1,0.877399284498433
Q5JTH9,1297.0,pre-rRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.9801432209098866
F8VU11,892.0,snRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,0.9758513175738722
Q13243,272.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.7825486847804783
Q9HCK8,2581.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,4,-1,0.0
Q9H6T0,727.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
H3BPE7,527.0,mRNA,SEG,0,1,0,1,2,1,2,1,2,1,1,0.5990310411831126
J3QL05,130.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.9338781453794217
Q9C0B9,1178.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
Q15029,972.0,tRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.4698093453717937
K7EJB9,349.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7641118993594275
D6W5Y5,297.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.8203601402462132
Q9UKJ3,1502.0,unknown,SEG,0,2,2,2,0,2,4,2,4,2,1,0.6501212052394029
O00267,1087.0,mRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.8834514318603549
M0QY97,910.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
M0R1H0,178.0,snoRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.7016679813324413
Q9NW07,568.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
P08621,437.0,snRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8737869501747574
A6NHQ2,334.0,snoRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.7541591219724717
A6NFI3,1004.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.6517656754261267
A0A087WVF4,1798.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.7157325182054768
A0A0D9SF53,733.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0A2R8Y4L2,320.0,mRNA,SEG,0,2,2,2,2,2,2,3,5,3,1,0.9838080786838626
Q9HBD4,1679.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.5698893933726604
Q14839,1912.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q9ULG1,1556.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0A8I5KSH6,925.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,1.0
A0A8V8TR54,2114.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.5292206207821991
A0ABB0MN55,322.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.6931790190191122
A0ABB0MV08,369.0,mRNA,SEG,0,2,0,2,3,2,3,3,5,3,1,0.8122184902853923
A0ACI8Q806,498.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0ACI8PX57,378.0,unknown,SEG,0,2,0,2,2,2,2,3,5,3,1,0.9504351926272453
A0ACI8QLY8,321.0,unknown,SEG,0,2,0,2,2,2,2,3,2,3,1,0.922039252582889
A0ACI8QUJ1,752.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0ACI8RX58,750.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.4149764964214057
A0ACI8RR28,918.0,unknown,SEG,0,2,0,2,0,2,4,3,2,3,1,1.0
A0ACI8QY88,715.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0ACI8T9E2,234.0,unknown,SEG,0,2,0,2,2,2,2,3,5,3,1,0.8665628076604375
A0ACI8TMU3,1055.0,unknown,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
A0ACI8TSY6,1461.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
A0ACI8TXE9,1448.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,-1,0.0
A0ACI8U1B9,902.0,unknown,SEG,0,2,0,2,3,2,0,3,5,3,1,0.9589710819679056
A0ACI8UMC2,837.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.9905567949097217
A0ACI8VCM9,1180.0,unknown,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
A0ACI8VQD2,1043.0,unknown,SEG,1,2,1,3,1,3,1,4,1,5,0,0.9179287059254755
A0ACI8VSD4,674.0,mRNA,SEG,1,2,0,2,3,2,3,3,3,3,1,0.7339047472798372
O43251,390.0,mRNA,SEG,0,2,0,2,3,2,3,3,3,3,1,1.0
P09651,372.0,mRNA,SEG,0,2,0,2,2,2,2,3,5,3,1,0.9838080786838626
P18615,380.0,mRNA,SEG,1,2,2,3,0,3,4,4,4,5,1,0.5191321137702593
P22087,321.0,snRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.6745403476582682
P26651,326.0,mRNA,SEG,0,2,2,2,2,2,2,3,5,3,1,0.9838080786838626
P29558,406.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,0.9265825029258495
P35637,526.0,mRNA,SEG,0,1,0,1,2,1,2,1,2,1,1,0.5984535255148413
P84103,164.0,mRNA,SEG,1,2,2,2,0,2,4,2,2,2,1,0.9184331946317125
Q01130,221.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.7719994839024116
Q01844,656.0,unknown,SEG,0,2,0,2,2,2,2,3,2,3,1,0.753522383937434
Q05519,484.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.8331026103374729
Q14011,172.0,mRNA,SEG,0,2,2,2,2,2,2,3,2,3,1,0.8154520309287746
Q14671,1186.0,mRNA,SEG,0,2,0,2,3,2,0,3,0,3,1,1.0
Q15459,793.0,snRNA,SEG,1,2,1,3,1,3,1,4,1,5,0,0.5149826670390347
Q16629,238.0,mRNA,SEG,1,2,2,2,0,2,4,2,4,2,1,0.8831822733170144
Q5VV67,1664.0,mRNA,SEG,0,2,2,2,0,2,4,2,4,2,1,0.8883747210041616
