uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_pam_k7,cluster_hierarchical_k7,cluster_pam_k8,cluster_hierarchical_k8,cluster_pam_k9,cluster_hierarchical_k9,cluster_pam_k10,cluster_hierarchical_k10,cluster_hdbscan,hdbscan_confidence
Q7Z478,1369.0,mRNA,LCRFinder,1,2,1,2,2,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
Q96DF8,476.0,mRNA,LCRFinder,1,2,2,2,1,3,1,3,1,4,1,5,0,6,0,7,1,8,-1,0.0
Q14151,953.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BQ67,446.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.7579782082802078
Q8WUA2,492.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P82663,173.0,ribosomal protein,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.9803023394410723
Q9H9Z2,209.0,mRNA,LCRFinder,1,2,2,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
O43159,456.0,pre-rRNA,LCRFinder,0,2,0,2,1,3,1,3,3,4,1,4,1,4,1,5,1,6,-1,0.0
Q96EY7,689.0,mRNA,LCRFinder,0,2,2,2,2,3,2,3,2,4,6,5,6,6,6,7,6,8,-1,0.0
Q12849,480.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,2,0.6641211445645581
Q9NQZ2,479.0,snoRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
O95218,330.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,3,1,3,1,3,8,4,8,4,-1,0.0
P38935,993.0,tRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
O15397,1037.0,ncRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.8937884576526615
Q9P031,241.0,unknown,LCRFinder,1,2,1,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q76MJ5,926.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,0,1.0
Q5TAX3,1644.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8NAV1,312.0,snRNA,LCRFinder,1,2,1,2,3,3,3,3,3,3,5,3,5,3,8,4,8,4,-1,0.0
Q86YF9,867.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q9HA77,564.0,tRNA,LCRFinder,0,2,0,2,3,3,3,3,0,4,5,4,5,4,3,5,3,6,-1,0.0
O43347,362.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,2,6,2,0.930092989881187
A4D1B5,854.0,unknown,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,0,4,0,5,7,6,-1,0.0
Q504Q3,1202.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q96K80,434.0,unknown,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,3,6,2,0.6261768134362345
Q14146,1524.0,pre-rRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q07955,248.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,8,5,8,6,-1,0.0
O60518,1105.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q96RS0,853.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BRD0,619.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
P42704,1394.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q9UK59,544.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q99728,777.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,1,5,2,6,2,7,4,8,-1,0.0
P05455,408.0,tRNA,LCRFinder,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,4,1,5,-1,0.0
Q9GZL7,423.0,pre-rRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,4,4,0,4,0,5,7,6,-1,0.0
Q96BP3,646.0,mRNA,LCRFinder,1,2,2,2,2,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q96IC2,774.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.9727045932235943
Q13573,536.0,mRNA,LCRFinder,1,2,2,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
O75691,2785.0,snoRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
O60563,726.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
P56192,900.0,tRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P49790,1475.0,diverse,LCRFinder,0,2,0,2,1,3,0,3,0,4,1,4,1,4,1,5,0,6,-1,0.0
O15105,426.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.7611711035180765
Q9Y473,711.0,unknown,LCRFinder,0,2,0,2,1,3,0,3,5,3,1,3,1,3,5,4,5,5,-1,0.0
Q14562,1220.0,mRNA,LCRFinder,1,2,1,2,3,3,3,3,3,3,5,3,5,3,8,4,8,4,-1,0.0
Q8TDI0,1954.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q6ZRS2,3230.0,unknown,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
O15047,1707.0,ncRNA,LCRFinder,0,2,0,2,3,3,1,3,3,4,6,4,6,4,6,5,6,6,-1,0.0
Q9UEG4,869.0,unknown,LCRFinder,0,2,0,2,2,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
Q8IXZ2,948.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
Q9UKV3,1341.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,3,1,3,1,3,1,4,1,4,-1,0.0
Q92900,1129.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,3,6,-1,0.0
P55199,621.0,snRNA,LCRFinder,0,2,2,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q9UPR6,939.0,unknown,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
Q86US8,1419.0,mRNA,LCRFinder,1,2,2,2,2,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q8WYQ5,773.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,1.0
Q9NVP1,670.0,pre-rRNA,LCRFinder,0,2,0,2,3,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q9UNW9,492.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q96DI7,357.0,snRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,4,4,0,4,0,5,7,6,-1,0.0
Q9P2K8,1649.0,tRNA,LCRFinder,1,2,2,2,2,3,2,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q9BSC4,688.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.7966394041730928
O60583,730.0,ncRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q5FWF4,1079.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,2,0.66237335760418
Q15032,1099.0,unknown,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,5,3,6,3,7,0,8,-1,0.0
O43432,1585.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9Y2X3,529.0,snoRNA,LCRFinder,1,2,1,2,2,3,1,3,5,4,1,5,1,6,5,7,5,8,-1,0.0
O15234,703.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,0,6,-1,0.0
Q9NXL6,827.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q9UBK2,798.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
Q96KR1,1074.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q17RY0,729.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q9H089,658.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q9P2N5,1060.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,5,3,6,3,7,3,8,-1,0.0
Q9HAV4,1204.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
P51531,1590.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P31942,346.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
P78332,1123.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
O94906,941.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8TBF4,217.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q15633,366.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q5T8P6,1007.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
A7MD48,611.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,1,3,3,3,3,3,8,4,8,4,-1,0.0
Q5VZF2,373.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,2,0.6052510190046408
Q86U38,636.0,pre-rRNA,LCRFinder,0,2,2,2,2,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
A0A0A0MQW0,576.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
P37108,136.0,ncRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q92620,1227.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,8,7,8,8,-1,0.0
Q8WYQ9,949.0,unknown,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,0,6,-1,0.0
Q9ULX3,412.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,1.0
O43823,692.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,5,3,6,3,7,3,8,-1,0.0
Q96L12,384.0,unknown,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,1.0
Q9H0W8,520.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,4,3,5,0,6,0,7,3,8,-1,0.0
Q15427,424.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,0,6,-1,0.0
P41214,584.0,tRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,2,0.6128310456695834
Q9HC10,1997.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
P82675,430.0,ribosomal protein,LCRFinder,0,2,2,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q96HR8,494.0,snoRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q9ULW3,272.0,mRNA,LCRFinder,1,2,2,2,2,3,3,3,3,4,5,5,5,6,4,7,9,8,-1,0.0
Q5C9Z4,860.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9NZB2,1118.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q9C0D7,883.0,unknown,LCRFinder,0,2,0,2,2,3,0,3,3,4,0,5,0,6,0,7,6,8,2,0.6152267061910376
Q9UK39,431.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q8IZD4,617.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.6075605103586994
Q5VWX1,349.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q9H361,631.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q8TBY0,533.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.921816940780382
Q5W0B1,726.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
Q5T200,1668.0,unknown,LCRFinder,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,-1,0.0
Q2TBE0,894.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P47974,494.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
P49792,3224.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BYG3,293.0,pre-rRNA,LCRFinder,1,2,1,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q8TEQ6,1508.0,snRNA,LCRFinder,1,2,1,2,1,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
O95104,1147.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,8,5,8,6,-1,0.0
O43541,496.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
O60841,1220.0,tRNA,LCRFinder,1,2,1,2,2,3,2,3,3,4,2,5,4,6,4,7,9,8,-1,0.0
Q9UKZ1,510.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q86SE8,214.0,pre-rRNA,LCRFinder,1,2,1,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q14974,876.0,mRNA,LCRFinder,0,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q9NZI8,577.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q5SZQ8,465.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q9HC44,474.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,4,6,2,0.6682991023358222
Q15269,919.0,snoRNA,LCRFinder,1,2,2,2,2,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q15424,915.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P25311,298.0,unknown,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,0,1.0
O75127,700.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q8N6W0,485.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q9NQ29,371.0,mRNA,LCRFinder,1,2,1,2,3,3,0,3,0,3,3,3,3,3,8,4,8,4,-1,0.0
O14979,420.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q8TDG4,1101.0,unknown,LCRFinder,1,2,1,2,2,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q96IZ7,334.0,mRNA,LCRFinder,1,2,2,2,3,3,3,3,3,3,5,3,5,3,8,4,8,4,-1,0.0
A0AV96,593.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q8TAD8,396.0,ncRNA,LCRFinder,1,2,2,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
O14776,1098.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
O15455,904.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,4,4,0,4,0,5,7,6,-1,0.0
O95391,586.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8TA86,221.0,snRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q14296,549.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,4,2,4,2,5,4,6,-1,0.0
Q9H814,394.0,snRNA,LCRFinder,0,2,0,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
O94913,1555.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q96CM3,377.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,2,6,2,0.9857253814265605
Q9H1E1,156.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q8WWH5,349.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,2,0.7029177095578857
Q9BRS8,491.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
P15918,1043.0,unknown,LCRFinder,0,2,0,2,3,3,3,3,3,3,5,3,5,3,3,4,3,5,-1,0.0
Q08AF3,891.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.6501274893057467
