protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
O43719,755.0,0,1,357,357.0,0.4728476821192053,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05042016806722689,0.3473389355742297,False
Q14694,798.0,1,1,19,19.0,0.023809523809523808,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1052631578947368,0.3157894736842105,False
Q96DP5,389.0,1,1,86,86.0,0.2210796915167095,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06976744186046512,0.3488372093023256,False
Q9NVM6,304.0,3,4,87,21.75,0.28618421052631576,3+,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.022988505747126426,0.32183908045977005,False
Q9UKV8,859.0,3,7,165,23.571428571428573,0.1920838183934808,3+,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.048484848484848485,0.2545454545454545,False
P14866,589.0,0,1,154,154.0,0.2614601018675722,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006493506493506494,0.2012987012987013,False
O75792,299.0,2,3,283,94.33333333333333,0.9464882943143813,3+,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.03180212014134275,0.26501766784452296,False
Q7Z333,2677.0,1,2,424,212.0,0.15838625326858424,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023584905660377353,0.2688679245283018,False
Q9H6R0,707.0,0,1,127,127.0,0.17963224893917965,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05511811023622047,0.1653543307086614,False
Q7Z417,695.0,1,2,146,73.0,0.21007194244604316,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0410958904109589,0.2876712328767123,False
Q07021,282.0,1,2,30,15.0,0.10638297872340426,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.3333333333333333,False
Q9H6F5,360.0,0,1,38,38.0,0.10555555555555556,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2631578947368421,0.3684210526315789,False
Q9UMS4,504.0,1,3,264,88.0,0.5238095238095238,3+,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.030303030303030304,0.1893939393939394,False
P16989,372.0,2,1,372,372.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03225806451612903,0.2634408602150538,False
A0A499FI31,981.0,0,1,323,323.0,0.3292558613659531,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1021671826625387,0.3126934984520124,False
Q9Y6K5,1087.0,1,1,12,12.0,0.011039558417663294,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1666666666666667,0.1666666666666667,False
P04406,335.0,1,1,18,18.0,0.05373134328358209,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.2222222222222222,False
P25398,132.0,0,1,42,42.0,0.3181818181818182,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09523809523809523,0.4285714285714285,False
Q13895,437.0,2,2,363,181.5,0.8306636155606407,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.01101928374655647,0.2975206611570248,False
C9IY40,225.0,2,1,225,225.0,1.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07555555555555556,0.2,False
P42285,1042.0,0,4,366,91.5,0.3512476007677543,3+,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.0273224043715847,0.28961748633879786,False
P49590,506.0,1,1,12,12.0,0.023715415019762844,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.4166666666666667,False
P54136,660.0,1,1,36,36.0,0.05454545454545454,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.25,False
O43818,475.0,1,1,116,116.0,0.24421052631578946,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724137931034483,0.1896551724137931,False
O60739,113.0,2,1,106,106.0,0.9380530973451328,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009433962264150943,0.2924528301886792,False
P19525,551.0,0,3,161,53.666666666666664,0.29219600725952816,3+,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.031055900621118012,0.2422360248447205,False
Q96EP5,407.0,1,2,53,26.5,0.13022113022113022,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4.1895208476421e-18,0.07547169811320754,False
Q92499,740.0,1,2,77,38.5,0.10405405405405406,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.12987012987012983,0.2077922077922078,False
Q4ZG55,1949.0,4,2,24,12.0,0.012314007183170857,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.08333333333333333,0.3333333333333333,False
Q9UKF6,684.0,0,4,77,19.25,0.11257309941520467,3+,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.05194805194805194,0.3376623376623376,False
Q8NHQ9,600.0,1,1,71,71.0,0.11833333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08450704225352113,0.2816901408450704,False
Q9BWT3,736.0,1,1,210,210.0,0.28532608695652173,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04285714285714286,0.2523809523809524,False
Q13148,414.0,0,1,197,197.0,0.4758454106280193,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005076142131979695,0.2893401015228426,False
O00148,427.0,0,3,63,21.0,0.14754098360655737,3+,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09523809523809523,0.19047619047619047,False
Q06265,439.0,3,4,119,29.75,0.27107061503416857,3+,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.025210084033613446,0.2773109243697479,False
Q92797,1274.0,4,1,21,21.0,0.016483516483516484,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09523809523809523,0.19047619047619047,False
Q9Y3A5,250.0,0,3,46,15.333333333333334,0.184,3+,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.10869565217391304,0.3260869565217392,False
Q8IWZ8,645.0,4,2,26,13.0,0.040310077519379844,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.038461538461538464,0.4230769230769231,False
P21506,573.0,0,3,58,19.333333333333332,0.1012216404886562,3+,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.1724137931034483,False
Q9UBQ5,218.0,1,3,86,28.666666666666668,0.3944954128440367,3+,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.011627906976744184,0.2441860465116279,False
Q9UBS3,223.0,2,2,183,91.5,0.820627802690583,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.00546448087431694,0.26775956284153,False
P51116,673.0,2,2,458,229.0,0.6805349182763745,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.030567685589519646,0.26637554585152834,False
Q8IX18,779.0,2,3,570,190.0,0.7317073170731707,3+,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.015789473684210527,0.2649122807017544,False
P62249,146.0,2,1,146,146.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1232876712328767,0.2876712328767123,False
Q96Q11,434.0,2,3,424,141.33333333333334,0.9769585253456221,3+,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.007075471698113209,0.29009433962264153,False
Q7Z478,1369.0,2,3,863,287.6666666666667,0.6303871439006574,3+,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0011587485515643116,0.29316338354577054,False
Q8IZ69,625.0,1,3,213,71.0,0.3408,3+,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06572769953051644,0.2816901408450704,False
Q96DF8,476.0,3,4,61,15.25,0.12815126050420167,3+,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06557377049180328,0.32786885245901637,False
Q14151,953.0,3,8,400,50.0,0.4197271773347324,3+,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.007500000000000004,0.4375,False
O43159,456.0,0,1,31,31.0,0.06798245614035088,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1290322580645161,0.1935483870967742,False
Q96EY7,689.0,1,5,420,84.0,0.6095791001451378,3+,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.002380952380952381,0.2642857142857143,False
P57772,596.0,1,2,27,13.5,0.04530201342281879,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.14814814814814814,False
Q9BXT8,1623.0,1,2,38,19.0,0.02341343191620456,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.026315789473684233,0.2894736842105263,False
Q5TAX3,1644.0,1,1,17,17.0,0.010340632603406326,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.1764705882352941,False
Q8NAV1,312.0,4,1,85,85.0,0.2724358974358974,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0.4941176470588236,False
Q86YF9,867.0,1,2,250,125.0,0.28835063437139563,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,0.23199999999999996,False
Q14146,1524.0,3,6,155,25.833333333333332,0.10170603674540682,3+,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.01935483870967742,0.17419354838709677,False
Q9H9J2,332.0,2,2,325,162.5,0.9789156626506024,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615384615385,0.2553846153846154,True
O60573,245.0,0,1,120,120.0,0.4897959183673469,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.01666666666666667,0.3,False
O00425,579.0,4,1,19,19.0,0.03281519861830743,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2631578947368421,0.2631578947368421,False
Q9NY93,547.0,0,1,17,17.0,0.031078610603290677,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.058823529411764705,0.058823529411764705,False
Q9BX63,1249.0,4,2,32,16.0,0.025620496397117692,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.03125,0.21875,False
O75691,2785.0,4,4,78,19.5,0.02800718132854578,3+,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.708035422500241e-17,0.38461538461538464,False
Q9NYH9,597.0,4,1,19,19.0,0.031825795644891124,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05263157894736842,0.3684210526315789,False
P49588,968.0,0,3,90,30.0,0.09297520661157024,3+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.022222222222222233,0.2222222222222222,False
O60563,726.0,1,4,213,53.25,0.29338842975206614,3+,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.004694835680751178,0.20187793427230047,False
Q15185,160.0,4,1,13,13.0,0.08125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.5384615384615384,False
P49790,1475.0,1,6,92,15.333333333333334,0.062372881355932205,3+,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.13043478260869565,0.21739130434782608,False
O15105,426.0,2,3,418,139.33333333333334,0.9812206572769953,3+,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.016746411483253586,0.21770334928229665,False
Q9Y473,711.0,2,1,711,711.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04219409282700422,0.2587904360056259,False
O75113,896.0,3,11,432,39.27272727272727,0.48214285714285715,3+,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,-0.08796296296296297,0.28703703703703703,False
Q14562,1220.0,3,13,409,31.46153846153846,0.33524590163934426,3+,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,-0.014669926650366748,0.31295843520782396,False
Q6P1Q9,378.0,4,2,48,24.0,0.12698412698412698,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0625,0.3125,False
Q8TDI0,1954.0,1,1,13,13.0,0.006653019447287615,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538461538461539,0.3076923076923077,False
Q6ZRS2,3230.0,3,15,250,16.666666666666668,0.07739938080495357,3+,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.048,0.248,False
O15047,1707.0,4,1,13,13.0,0.007615700058582308,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5384615384615384,0.5384615384615384,False
Q9UEG4,869.0,0,2,30,15.0,0.03452243958573072,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0.19999999999999998,False
O00418,725.0,1,2,162,81.0,0.22344827586206897,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11728395061728394,0.27777777777777785,False
Q86US8,1419.0,4,6,578,96.33333333333333,0.4073291050035236,3+,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.03806228373702422,0.32525951557093424,False
Q8WYQ5,773.0,0,1,92,92.0,0.11901681759379043,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05434782608695652,0.3152173913043478,False
Q9NVP1,670.0,2,1,356,356.0,0.5313432835820896,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02528089887640449,0.2780898876404495,False
Q8N5C6,995.0,0,1,14,14.0,0.01407035175879397,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.07142857142857142,0.21428571428571427,False
Q9P2K8,1649.0,1,3,61,20.333333333333332,0.03699211643420255,3+,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.08196721311475409,0.2786885245901639,False
Q9BSC4,688.0,4,2,37,18.5,0.05377906976744186,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05405405405405406,0.43243243243243246,False
Q5FWF4,1079.0,1,3,85,28.333333333333332,0.07877664504170528,3+,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0.2705882352941177,False
Q96RP9,751.0,1,2,35,17.5,0.04660452729693742,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.08571428571428572,0.3142857142857143,False
Q9NXL6,827.0,2,4,659,164.75,0.7968561064087062,3+,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.004552352048558426,0.15933232169954475,False
Q9UBK2,798.0,4,2,120,60.0,0.15037593984962405,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,0.26666666666666666,False
Q96KR1,1074.0,0,1,23,23.0,0.021415270018621976,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17391304347826092,0.3478260869565217,False
Q9P2N5,1060.0,3,9,261,29.0,0.24622641509433962,3+,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.03448275862068967,0.24904214559386972,False
Q9HAV4,1204.0,3,7,203,29.0,0.1686046511627907,3+,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.014778325123152707,0.1724137931034483,False
O14981,1849.0,1,2,201,100.5,0.10870740941049216,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02487562189054727,0.2437810945273632,False
O94906,941.0,4,5,86,17.2,0.09139213602550478,3+,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.290957005378089e-17,0.3488372093023256,False
P49770,351.0,1,1,31,31.0,0.08831908831908832,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03225806451612903,0.1612903225806452,False
Q5T8P6,1007.0,0,3,556,185.33333333333334,0.5521350546176763,3+,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.02877697841726619,0.2913669064748202,False
A7MD48,611.0,2,1,580,580.0,0.9492635024549918,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1879310344827586,0.3189655172413793,False
Q5VZF2,373.0,2,3,366,122.0,0.9812332439678284,3+,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02185792349726776,0.16393442622950818,False
Q8IZP6,322.0,2,1,245,245.0,0.7608695652173914,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00816326530612245,0.3183673469387755,False
Q86U38,636.0,2,1,559,559.0,0.8789308176100629,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02146690518783542,0.2075134168157424,False
A0A0A0MQW0,576.0,2,1,366,366.0,0.6354166666666666,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00273224043715847,0.2759562841530054,False
Q8NCV1,583.0,0,2,287,143.5,0.4922813036020583,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.013937282229965157,0.13937282229965156,False
Q9ULX3,412.0,0,1,49,49.0,0.11893203883495146,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1224489795918367,0.2040816326530612,False
Q9H0W8,520.0,1,1,14,14.0,0.026923076923076925,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21428571428571427,0.21428571428571427,False
Q9HC10,1997.0,3,14,236,16.857142857142858,0.11817726589884828,3+,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,-0.0635593220338983,0.326271186440678,False
P82675,430.0,4,1,44,44.0,0.10232558139534884,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.04545454545454546,0.3181818181818182,False
Q8WTS6,366.0,1,2,38,19.0,0.10382513661202186,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.23684210526315788,False
Q96HR8,494.0,1,1,14,14.0,0.02834008097165992,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0.21428571428571427,False
Q96H79,300.0,1,5,120,24.0,0.4,3+,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.016666666666666666,0.18333333333333332,False
Q9NZB2,1118.0,1,2,543,271.5,0.4856887298747764,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03683241252302026,0.22467771639042353,False
P49589,748.0,3,5,110,22.0,0.14705882352941177,3+,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.01818181818181818,0.21818181818181817,False
Q9C0D7,883.0,4,1,31,31.0,0.035107587768969425,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03225806451612903,0.2258064516129032,False
Q13405,166.0,0,4,75,18.75,0.45180722891566266,3+,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.013333333333333336,0.2533333333333333,False
Q53EL6,469.0,3,7,221,31.571428571428573,0.47121535181236673,3+,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.09954751131221719,0.28959276018099545,False
Q9UK39,431.0,1,1,15,15.0,0.03480278422273782,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333333333,0.4,False
Q8IZD4,617.0,2,2,533,266.5,0.8638573743922204,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001876172607879925,0.18574108818011256,False
Q8N442,669.0,4,3,98,32.666666666666664,0.14648729446935724,3+,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.02040816326530613,0.2857142857142857,False
Q5W0B1,726.0,1,1,31,31.0,0.04269972451790634,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1612903225806452,0.2258064516129032,False
Q5T200,1668.0,4,2,368,184.0,0.22062350119904076,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.059782608695652176,0.483695652173913,False
Q96GW9,593.0,1,1,158,158.0,0.26644182124789206,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01265822784810127,0.1645569620253164,False
P49792,3224.0,0,3,240,80.0,0.07444168734491315,3+,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.029166666666666667,0.21249999999999994,False
Q68D06,897.0,1,1,18,18.0,0.020066889632107024,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,False
Q8TEQ6,1508.0,1,1,24,24.0,0.015915119363395226,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.1666666666666667,False
O95104,1147.0,1,1,17,17.0,0.014821272885789015,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176470588235294,0.1176470588235294,False
O43541,496.0,1,5,88,17.6,0.1774193548387097,3+,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.056818181818181816,0.26136363636363635,False
Q9NRX2,175.0,0,1,35,35.0,0.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571428571428,0.2,False
O60841,1220.0,4,2,68,34.0,0.05573770491803279,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.07352941176470588,0.39705882352941174,False
Q14974,876.0,0,4,233,58.25,0.2659817351598174,3+,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.06866952789699571,0.22317596566523606,False
Q5SZQ8,465.0,0,1,17,17.0,0.03655913978494624,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1176470588235294,0.1176470588235294,False
