protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q86U42,306.0,1,2,144,72.0,0.47058823529411764,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.16666666666666666,0.3333333333333333,False
Q9H307,717.0,0,1,629,629.0,0.8772663877266388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.01271860095389507,0.397456279809221,False
Q4VXU2,619.0,0,1,55,55.0,0.0888529886914378,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,False
O60828,265.0,4,1,114,114.0,0.43018867924528303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03508771929824561,0.631578947368421,False
O43719,755.0,1,2,421,210.5,0.5576158940397351,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2066508313539192,0.5344418052256532,False
Q14694,798.0,3,2,306,153.0,0.38345864661654133,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.09477124183006536,0.21895424836601313,False
Q9NVM6,304.0,1,1,114,114.0,0.375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04385964912280702,0.5350877192982456,False
Q9UKV8,859.0,3,1,23,23.0,0.02677532013969732,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0.08695652173913043,False
P14866,589.0,3,3,128,42.666666666666664,0.21731748726655348,3+,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09375,0.25,False
Q15428,464.0,2,1,246,246.0,0.5301724137931034,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130081300813009,0.02439024390243903,False
A4D1E9,387.0,2,1,19,19.0,0.04909560723514212,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.1578947368421053,False
Q9NW13,759.0,4,3,361,120.33333333333333,0.4756258234519104,3+,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.013850415512465365,0.45706371191135736,False
Q7Z333,2677.0,3,1,1092,1092.0,0.40791931266342923,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.002747252747252747,0.3031135531135531,False
Q9H6R0,707.0,2,1,11,11.0,0.015558698727015558,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,False
Q9Y5J1,556.0,1,2,186,93.0,0.3345323741007194,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.06989247311827955,0.41397849462365593,False
Q7Z417,695.0,3,2,635,317.5,0.9136690647482014,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.011023622047244094,0.1968503937007874,False
P84098,196.0,4,1,145,145.0,0.7397959183673469,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2551724137931035,0.46206896551724136,False
Q07021,282.0,1,1,78,78.0,0.2765957446808511,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2307692307692308,0.3846153846153846,False
Q9NY12,217.0,2,2,115,57.5,0.5299539170506913,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.17391304347826086,0.20869565217391303,False
Q9H6F5,360.0,0,2,310,155.0,0.8611111111111112,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08709677419354842,0.33225806451612905,False
P16989,372.0,2,1,88,88.0,0.23655913978494625,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.056818181818181816,0.125,False
A0A499FI31,981.0,1,3,247,82.33333333333333,0.25178389398572887,3+,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.08502024291497974,0.4089068825910931,False
Q5XG87,792.0,0,2,414,207.0,0.5227272727272727,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03864734299516908,0.11594202898550725,False
O43818,475.0,1,2,108,54.0,0.22736842105263158,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06481481481481485,0.4537037037037037,False
P19525,551.0,0,1,84,84.0,0.15245009074410162,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.08333333333333333,0.1785714285714286,False
Q96EP5,407.0,3,2,119,59.5,0.29238329238329236,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.329605248950895e-19,0.05042016806722689,False
Q4ZG55,1949.0,0,1,237,237.0,0.1216008209338122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.004219409282700422,0.2067510548523207,False
Q03701,1054.0,0,4,333,83.25,0.3159392789373814,3+,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.17417417417417416,0.4624624624624625,False
Q99848,306.0,4,1,163,163.0,0.5326797385620915,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2392638036809816,0.3987730061349693,False
O95926,243.0,0,1,92,92.0,0.3786008230452675,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07608695652173914,0.5543478260869565,False
Q8NHQ9,600.0,4,1,90,90.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1222222222222222,0.6111111111111112,False
Q9BWT3,736.0,0,1,66,66.0,0.08967391304347826,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01515151515151515,0.2878787878787879,False
Q13148,414.0,2,1,141,141.0,0.34057971014492755,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01418439716312057,0.0425531914893617,False
Q06265,439.0,4,1,31,31.0,0.07061503416856492,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4516129032258064,0.5161290322580645,False
P09012,282.0,2,1,67,67.0,0.2375886524822695,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.029850746268656716,False
Q13247,344.0,4,1,170,170.0,0.4941860465116279,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3352941176470588,0.4294117647058823,False
Q9ULR5,123.0,1,1,58,58.0,0.4715447154471545,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.293103448275862,0.4655172413793103,False
Q8WVK2,155.0,1,2,120,60.0,0.7741935483870968,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19166666666666668,0.6583333333333333,False
O00566,681.0,4,2,556,278.0,0.8164464023494861,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.09352517985611514,0.460431654676259,False
Q96EU6,259.0,4,1,115,115.0,0.444015444015444,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1478260869565217,0.4260869565217391,False
P09234,159.0,0,1,95,95.0,0.5974842767295597,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06315789473684211,0.06315789473684211,False
Q9BZI7,483.0,0,1,300,300.0,0.6211180124223602,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.6033333333333334,False
Q92797,1274.0,2,1,18,18.0,0.0141287284144427,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.05555555555555555,False
P08579,225.0,4,1,23,23.0,0.10222222222222223,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3043478260869565,0.5652173913043478,False
Q8IWZ8,645.0,3,3,226,75.33333333333333,0.35038759689922483,3+,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05752212389380531,0.3407079646017699,False
P51116,673.0,0,1,266,266.0,0.3952451708766716,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02631578947368421,0.3345864661654135,False
Q15415,496.0,0,1,451,451.0,0.9092741935483871,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0598669623059867,0.2771618625277162,False
Q7Z478,1369.0,1,3,317,105.66666666666667,0.23155588020452886,3+,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.037854889589905356,0.3659305993690851,False
Q8IZ69,625.0,2,1,13,13.0,0.0208,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q96DF8,476.0,1,1,105,105.0,0.22058823529411764,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1428571428571428,0.3714285714285714,False
Q14151,953.0,3,3,738,246.0,0.7743966421825813,3+,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.032520325203252036,0.4037940379403794,False
Q9BQ67,446.0,1,1,24,24.0,0.053811659192825115,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5833333333333334,0.75,False
Q8WUA2,492.0,1,1,172,172.0,0.34959349593495936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08139534883720931,0.4883720930232558,False
P19474,475.0,4,1,112,112.0,0.23578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.02678571428571428,0.4017857142857143,False
O43159,456.0,4,1,138,138.0,0.3026315789473684,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1304347826086956,0.4057971014492754,False
Q96EY7,689.0,0,1,74,74.0,0.10740203193033382,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1351351351351351,0.24324324324324328,False
Q12849,480.0,2,1,94,94.0,0.19583333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0851063829787234,0.0851063829787234,False
Q9NQZ2,479.0,1,2,340,170.0,0.7098121085594989,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.05588235294117647,0.45588235294117646,False
O95218,330.0,1,2,273,136.5,0.8272727272727273,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.007326007326007326,0.4981684981684982,False
P38935,993.0,2,4,203,50.75,0.20443101711983888,3+,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.3054187192118227,False
Q9BXT8,1623.0,1,1,31,31.0,0.019100431300061615,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1935483870967742,0.5806451612903226,False
O15397,1037.0,1,1,61,61.0,0.058823529411764705,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.360655737704918,0.5245901639344263,False
Q9P031,241.0,3,1,164,164.0,0.6804979253112033,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09146341463414634,0.42073170731707316,False
P05198,315.0,1,1,57,57.0,0.18095238095238095,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21052631578947373,0.5263157894736842,False
Q76MJ5,926.0,3,1,61,61.0,0.06587473002159827,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.01639344262295082,0.2459016393442623,False
O43776,548.0,0,1,53,53.0,0.09671532846715329,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09433962264150944,0.5094339622641509,False
Q5TAX3,1644.0,1,4,447,111.75,0.2718978102189781,3+,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.020134228187919462,0.30648769574944074,False
Q8NAV1,312.0,1,2,133,66.5,0.42628205128205127,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.18045112781954892,0.5413533834586466,False
Q86YF9,867.0,0,2,203,101.5,0.23414071510957324,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.03448275862068965,0.3399014778325124,False
Q96K80,434.0,2,3,172,57.333333333333336,0.39631336405529954,3+,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.01744186046511628,0.040697674418604654,False
O60573,245.0,2,1,37,37.0,0.1510204081632653,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.08108108108108109,0.5675675675675675,False
O00425,579.0,2,1,22,22.0,0.037996545768566495,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q9NY93,547.0,3,1,40,40.0,0.07312614259597806,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.45,False
Q07955,248.0,2,2,73,36.5,0.29435483870967744,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3013698630136986,0.3013698630136986,False
Q9BX63,1249.0,1,3,516,172.0,0.41313050440352284,3+,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.046511627906976744,0.29069767441860467,False
P42766,123.0,4,1,120,120.0,0.975609756097561,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.4333333333333333,False
O43422,761.0,1,1,61,61.0,0.08015768725361366,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180327868852459,0.4754098360655737,False
Q96RS0,853.0,3,3,513,171.0,0.6014067995310668,3+,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09161793372319688,0.36062378167641324,False
Q9BRD0,619.0,3,4,487,121.75,0.7867528271405493,3+,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.024640657084188913,0.3737166324435318,False
Q9UK59,544.0,1,2,158,79.0,0.29044117647058826,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27848101265822783,0.3417721518987341,False
Q99728,777.0,0,2,370,185.0,0.47619047619047616,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04864864864864865,0.3027027027027027,False
P05455,408.0,0,1,213,213.0,0.5220588235294118,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01408450704225352,0.4272300469483568,False
Q96BP3,646.0,1,1,46,46.0,0.07120743034055728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1304347826086956,0.5217391304347826,False
Q13573,536.0,0,1,96,96.0,0.1791044776119403,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07291666666666667,0.5729166666666666,False
Q96FV9,657.0,1,2,75,37.5,0.1141552511415525,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2933333333333333,0.5066666666666667,False
O75691,2785.0,1,4,170,42.5,0.06104129263913824,3+,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.5352941176470588,False
O60563,726.0,3,2,466,233.0,0.6418732782369146,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021459227467811155,0.2145922746781116,False
Q15185,160.0,1,1,57,57.0,0.35625,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3684210526315789,0.47368421052631576,False
P49790,1475.0,3,2,1389,694.5,0.9416949152542373,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.009359251259899209,0.16198704103671704,False
O15105,426.0,0,1,69,69.0,0.1619718309859155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.02898550724637681,0.2028985507246377,False
Q14562,1220.0,1,2,208,104.0,0.17049180327868851,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.024038461538461557,0.5432692307692307,False
Q8TDI0,1954.0,0,6,716,119.33333333333333,0.3664278403275333,3+,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.03770949720670388,0.47067039106145253,False
Q6ZRS2,3230.0,3,10,2020,202.0,0.6253869969040248,3+,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.04504950495049505,0.1777227722772277,False
O15047,1707.0,0,5,1110,222.0,0.6502636203866432,3+,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.06846846846846846,0.25045045045045045,False
Q9UEG4,869.0,1,2,88,44.0,0.10126582278481013,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.17045454545454544,0.2613636363636363,False
Q8IXZ2,948.0,0,1,794,794.0,0.8375527426160337,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1209068010075567,0.23173803526448364,False
Q9UKV3,1341.0,1,1,1213,1213.0,0.9045488441461595,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0247320692497939,0.3924154987633965,False
Q92900,1129.0,2,1,24,24.0,0.021257750221434897,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
P55199,621.0,4,1,26,26.0,0.04186795491143317,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,0.6153846153846154,False
Q9UPR6,939.0,3,4,309,77.25,0.329073482428115,3+,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.032362459546925564,0.16828478964401294,False
O00418,725.0,3,1,103,103.0,0.14206896551724138,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1553398058252427,0.3106796116504854,False
Q86US8,1419.0,0,2,457,228.5,0.32205778717406625,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013129102844638942,0.4288840262582057,False
Q8WYQ5,773.0,1,2,157,78.5,0.20310478654592498,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.12101910828025475,0.46496815286624193,False
Q9NVP1,670.0,2,1,156,156.0,0.23283582089552238,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0576923076923077,0.391025641025641,False
Q9UNW9,492.0,2,1,191,191.0,0.3882113821138211,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.02094240837696335,0.03141361256544502,False
Q8N5C6,995.0,0,1,111,111.0,0.11155778894472362,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07207207207207207,0.4144144144144144,False
Q9P2K8,1649.0,1,2,206,103.0,0.1249241964827168,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.12135922330097086,0.3932038834951456,False
Q9BSC4,688.0,0,1,265,265.0,0.3851744186046512,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04905660377358491,0.4641509433962264,False
O60583,730.0,0,1,388,388.0,0.5315068493150685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03608247422680412,0.20618556701030927,False
Q5FWF4,1079.0,0,1,254,254.0,0.23540315106580167,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.07086614173228346,0.3385826771653543,False
Q15032,1099.0,3,5,459,91.8,0.4176524112829845,3+,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.006535947712418301,0.12854030501089322,False
O43432,1585.0,3,6,677,112.83333333333333,0.42712933753943216,3+,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.04579025110782865,0.27326440177252587,False
Q8NC60,698.0,3,1,43,43.0,0.06160458452722063,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02325581395348837,0.4883720930232558,False
Q9Y2X3,529.0,0,1,143,143.0,0.27032136105860116,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.5384615384615384,False
O15234,703.0,3,3,652,217.33333333333334,0.9274537695590327,3+,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0766871165644172,0.27300613496932513,False
Q9NXL6,827.0,0,1,79,79.0,0.09552599758162031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.1518987341772152,0.22784810126582278,False
Q9UBK2,798.0,0,2,641,320.5,0.8032581453634086,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0546021840873635,0.2854914196567862,False
Q96KR1,1074.0,0,3,526,175.33333333333334,0.4897579143389199,3+,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.022813688212927757,0.155893536121673,False
Q17RY0,729.0,3,1,336,336.0,0.4609053497942387,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005952380952380952,0.130952380952381,False
Q9UNX3,145.0,4,1,135,135.0,0.9310344827586207,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1851851851851852,0.3925925925925926,False
Q9H089,658.0,1,1,106,106.0,0.16109422492401215,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22641509433962256,0.4339622641509434,False
Q9P2N5,1060.0,3,6,547,91.16666666666667,0.5160377358490567,3+,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0.031078610603290677,0.3491773308957952,False
P51531,1590.0,3,3,1027,342.3333333333333,0.6459119496855346,3+,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.02921129503407985,0.3330087633885102,False
